Year,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168
2010,0.753,0.39,1.44,1.44,,0.279,0.833,0.419,0.456,0.453,2.467,3.101,4.562,1.72,2.94,2.545,4.7,2.841,3.037,2.937,1.889,2.588,0.604,1.955,1.847,1.587,0.673,0.362,1.124,1.264,2.033,1.232,1.741,1.176,1.226,0.984,3.263,1.556,2.218,2.156,4.324,5.704,0.95,2.288,1.493,1.585,0.724,0.22,0.086,0.677,0.95,0.951,0.523,2.289,2.446,2.108,1.373,1.239,2.333,1.295,1.052,1.074,1.369,1.805,1.088,1.494,2.162,0.658,1.611,0.865,0.241666667,0.856,0.760666667,1.174666667,0.172666667,0.105,0.34,1.0415,0.624333333,0.557666667
2009,0.535,0.306,1.182,1.182,,0.604,0.673,0.376,0.428,0.465,3.187,3.192,5.219,2.363,2.765,3.608,5.141,3.561,1.588,4.204,2.292,2.619,0.643,2.943,1.405,1.692,0.985,0.555,0.748,1.305,2.829,1.447,1.906,1.568,1.078,1.511,2.287,0.9,2.775,2.583,6.559,5.274,0.39,2.476,1.497,1.779,1.037,0.318,0.364,0.335,0.581,0.568,0.53,0.845,1.475,0.953,0.662,0.852,0.622,0.652,1.111,0.634,1.254,0.92,1.087,0.823,1.438,0.602,1.784,3.887,0.283666667,0.972666667,0.929666667,1.077666667,0.313,0.241666667,0.433,0.9885,0.829333333,0.974666667
2008,0.378,0.295,1.083,1.083,,0.363,0.518,0.312,0.484,0.292,2.211,2.68,4.34,1.804,2.925,3.5,4.471,3.16,1.088,3.37,1.33,1.315,0.251,1.051,0.907,0.899,0.349,0.21,0.288,0.805,2.645,1.286,1.448,1.062,0.816,0.367,2.052,1.752,2.242,2.14,4.617,3.785,0.182,1.447,0.53,0.944,0.118,0.202,0.454,0.084,0.462,0.508,0.282,0.714,1.283,1.173,0.535,0.816,0.878,0.833,0.866,0.52,1.603,1.642,0.884,1.267,1.345,0.351,1.313,0.137,0.219333333,0.406333333,0.571,1.046666667,0.221666667,0.193666667,0.304,0.8125,0.650333333,0.501333333
2007,0.352,0.508,1.12,1.12,,0.435,0.589,0.468,0.67,0.299,3.575,2.645,4.479,1.829,2.569,2.028,4.551,4.096,0.946,5.433,2.242,2.333,0.678,2.981,1.016,2.207,,0.605,0.395,1.229,3.083,2.405,2.574,2.088,2.122,1.061,2.267,2.031,3.635,2.916,2.779,5.533,0.144,2.644,1.095,1.605,1.384,0.242,0.087,0.495,0.94,0.654,0.627,2.166,1.87,1.627,1.351,1.537,0.967,1.462,2.597,1.853,3.196,4.097,3.377,3.656,4.631,2.156,4.034,0.178,0.37,0.907666667,0.804333333,1.379666667,0.278666667,0.194333333,0.4025,0.941,0.862666667,0.681
2006,0.355,,0.804,0.804,,0.415,0.707,0.292,0.391,0.338,1.818,1.744,4.388,0.535,1.701,1.022,3.854,2.602,0.481,3.865,1.128,1.204,0.142,1.449,1.284,0.608,,0.087,0.373,0.671,1.731,0.394,0.869,0.901,0.994,0.807,1.617,1.798,1.917,1.394,1.799,3.365,0.237,1.285,0.146,0.695,0.368,0.086,0.347,0.074,0.318,0.096,0.255,0.459,0.714,0.367,0.172,0.164,0.326,0.407,0.38,0.418,0.436,0.866,0.601,0.69,1.043,0.314,1.326,1.123,0.040333333,0.061333333,0.088,0.474333333,0.101333333,0.064,0.061,0.7255,0.465666667,0.199333333
2005,0.556,,1.121,1.121,,0.445,0.919,0.3,0.621,0.529,3.048,3.05,5.94,2.045,2.074,3.125,5.028,2.746,1.982,4.13,1.231,1.004,0.231,0.795,0.64,0.84,,0.203,0.291,0.632,2.136,0.638,1.066,1.084,1.594,0.621,2.997,0.273,1.753,1.554,1.704,3.674,0.482,1.758,0.805,0.799,0.577,0.126,0.266,0.122,0.4,0.697,0.564,1.313,1.756,1.197,1.083,1.232,0.776,0.83,1.125,0.798,1.432,1.879,1.117,1.586,2.261,1.221,2.683,1.684,0.142333333,0.584333333,0.479666667,0.567333333,0.274666667,0.186,0.3085,1.1765,0.708333333,0.432666667
2004,0.759,,1.769,1.769,,0.47,0.78,0.616,0.839,0.622,2.719,2.748,5.262,2.21,2.412,2.355,5.956,2.147,1.858,4.122,0.771,1.232,0.106,1.335,1.047,0.447,,0.156,0.371,0.641,1.253,0.601,0.89,1.328,1.506,0.859,2.162,0.706,2.009,0.993,1.428,4.095,0.758,1.523,0.958,1.174,0.725,0.269,0.318,0.09,1.141,1.102,0.814,2.465,3.782,2.477,2.089,1.638,1.524,1.491,1.416,1.496,1.657,1.939,1.957,1.954,3.162,1.843,3.566,1.511,0.296666667,0.559333333,0.5,0.726666667,0.261333333,0.125333333,0.2465,1.1395,0.738666667,0.88
2003,0.44,,0.895,0.895,,0.3,0.392,0.288,0.44,0.428,2.059,2.208,4.934,2.229,2.109,2.639,5.343,1.357,2.582,3.68,0.594,0.848,0.194,0.777,1.016,0.43,,0.198,0.412,0.687,1.158,0.451,0.842,0.813,0.901,1.367,1.383,1.155,1.239,0.764,1.586,4.342,1.246,2.439,0.793,1.526,1.678,0.734,0.433,0.047,1.218,0.824,0.542,1.343,1.748,1.678,1.344,1.233,1.166,0.764,0.688,1.175,1.279,2.291,1.832,1.37,2.753,1.572,2.616,1.134,0.389666667,0.819,0.625,0.680333333,0.521333333,0.116,0.3635,0.764,0.473666667,0.643
2002,0.704,,1.016,1.016,,0.546,0.712,0.403,0.661,0.412,1.954,2.582,4.002,1.741,1.793,1.534,5.043,0.657,2.434,3.211,0.477,0.568,0.718,0.269,0.099,0.049,,0.513,0.352,0.379,0.443,0.476,0.518,0.171,0.12,1.381,0.521,1.741,0.409,0.761,0.261,1.369,0.45,0.34,0.195,0.361,0.096,0.242,0.23,0.008,0.523,0.368,0.281,0.618,1.043,0.801,0.445,0.546,0.594,0.505,0.081,0,0.105,0.158,0.174,0.083,0.272,1.017,0.211,0.021,0.105333333,0.169,0.157333333,0.217666667,0.249333333,0.106333333,0.0655,0.4135,0.183333333,0.345
2001,0.759,,1.082,1.082,,0.402,0.646,0.401,0.586,0.466,2.003,2.588,2.876,3.246,2.817,2.256,6.654,1.029,4.367,3.461,1.059,2.37,0.753,1.267,2.353,0.906,,,0.786,1.488,1.71,1.279,1.805,0.654,0.989,0.669,1.856,1.41,1.155,1.829,0.904,,0.392,2.334,0.982,1.962,0.899,1.937,1.909,0.007,0.661,0.587,0.585,0.694,1.137,0.965,0.896,0.77,0.632,0.717,1.441,0.921,1.679,1.617,1.557,1.294,1.811,0.929,3.059,1.199,0.439666667,0.473333333,0.526333333,0.719666667,0.556333333,0.09,0.2315,0.535,0.609333333,0.519666667
2000,0.589,,0.942,0.942,,0.423,0.698,0.37,0.444,0.494,1.731,1.873,1.766,1.675,1.824,1.426,6.553,0.792,4.206,4.147,1.241,2.597,0.666,1.452,4.441,1.353,,,0.514,1.831,2.785,1.069,1.846,1.269,1.374,0.763,5.72,1.69,2.761,1.44,4.127,,1.233,2.056,0.661,2.364,1.563,2.794,2.109,0.506,0.779,0.933,0.441,0.712,1.603,1.289,1.066,1.162,0.973,0.826,1.344,1.054,1.99,2.02,2.147,1.997,2.425,1.551,3.512,1.647,0.296666667,0.362333333,0.456,0.524,0.460666667,0.130333333,0.409,0.7995,0.495666667,0.596666667
