Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
2000,0.218,0.558,0.628,0.157,0.775,0.088,0.317,0.72,0.356,0.558,0.608,0.366,0.99,0.508,0.275,0.444,0.689,0.342,0.829,0.5,2.738,2.949,5.024,1.63,1.824,1.628,5.467,0.711,3.598,4.98,1.261,4.338,1.233,4.363,0.713,2.364,1.296,1.697,1.536,3.065,1.42,2.456,0.71,1.808,4.441,1.509,2.736,0.639,0.843,1.686,0.671,1.093,0.386,0.979,1.699,1.278,1.181,1.397,3.005,0.535,3.667,1.432,0.827,0.673,1.471,1.06,5.005,1.69,3.321,1.882,1.344,1.501,1.834,1.464,2.505,2.387,2.352,1.551,3.449,1.647
1999,0.228,0.698,0.817,0.13,0.519,0.187,0.311,0.706,0.753,0.63,0.526,0.305,1.582,0.629,0.084,0.556,0.736,0.448,0.717,0.559,4.58,4.001,,1.895,3.671,3.136,7.068,0.457,5.945,6.234,2.378,6.642,2.011,1.509,1.037,2.901,2.278,1.624,1.873,3.04,1.212,2.9,0.801,1.829,3.395,1.314,2.238,0.473,0.813,1.311,1.245,1.987,0.795,2.216,3.564,2.692,1.888,1.918,2.569,0.892,3.657,1.092,1.716,0.884,1.862,1.185,1.931,2.001,3.898,1.589,2.778,1.954,1.77,0.625,3.684,3.656,3.38,2.051,5.911,1.154
1998,0.31,0.861,1.008,0.043,0.933,0.231,0.305,0.618,0.705,0.578,0.371,0.386,0.976,0.433,0.332,0.257,0.804,0.268,0.468,0.375,4.535,4.404,,3.338,3.303,3.394,8.976,0.816,4.635,6.532,3.585,6.351,1.415,0.353,0.848,1.682,1.724,1.513,2.184,2.082,1.416,2.469,0.586,1.198,1.909,1.004,1.679,0.406,0.75,0.805,1.551,2.144,0.821,1.631,4.046,3.102,2.537,2.975,2.241,1.033,3.302,0.849,2.01,0.653,0.965,0.849,1.105,1.705,2.392,1.169,1.816,2.673,1.574,1.55,2.243,3.105,3.703,1.674,5.214,0.957
1997,0.489,0.502,0.925,0.12,0.85,0.162,0.372,0.83,0.675,0.669,0.44,0.557,0.833,0.611,0.208,0.343,0.456,0.278,0.584,0.569,4.263,3.553,,3.949,3.136,4.006,7.537,1.401,3.567,5.093,3.386,3.935,2.56,2.158,0.583,1.257,0.591,2.235,1.971,1.538,1.339,1.76,0.707,1.703,2.343,1.34,2.056,0.395,0.872,0.78,1.141,1.498,0.836,1.527,3.361,1.758,2.195,3.481,2.098,1.571,2.088,0.605,2.025,0.703,1.331,1.101,3.186,0.886,3.166,1.086,1.927,2.597,2.105,1.939,2.414,3.159,3.562,1.445,3.399,1.055
1996,0.141,0.809,0.64,0.072,0.634,0.1,0.315,1.065,0.662,0.75,0.697,0.454,0.6,0.684,0.48,0.38,0.696,0.325,0.538,0.496,5.546,3.35,,2.574,2.962,3.624,7.988,4.476,5.519,6.737,2.215,2.734,2.32,2.546,0.623,1.166,0.655,2.052,0.969,1.143,1.477,2.961,0.856,2.406,4.152,1.703,2.36,0.606,1.438,1.399,1.598,1.544,0.894,2.083,3.051,3.43,1.737,4.128,2.192,1.845,3.296,1.044,1.697,1.219,1.446,1.508,2.325,1.167,3.153,1.281,2.328,1.79,2.489,2.28,2.355,4.557,3.988,2.134,4.38,2.364
1995,0.269,0.977,0.605,0.087,0.555,0.06,0.266,0.697,0.644,0.518,0.761,0.364,0.616,0.823,0.255,0.47,0.805,0.499,0.988,0.608,4.151,2.847,,2.557,3.29,2.93,6.659,2.942,4.09,6.044,1.699,5.176,2.57,3.685,0.996,1.048,1.368,1.709,1.669,1.331,1.988,3.123,0.967,2.639,3.098,2.539,2.206,0.537,1.221,1.266,1.627,1.477,0.858,2.668,2.874,2.796,2.575,2.426,2.957,1.732,2.095,1.204,2.278,1.23,2.139,1.327,1.15,0.876,2.756,1.122,2.919,2.493,3.219,3.152,3.117,4.679,5.259,3.036,6.327,1.225
1994,0.227,0.82,0.764,0.12,0.609,0.097,0.288,0.823,0.563,0.52,0.754,0.494,0.579,0.727,0.301,0.328,0.81,0.501,0.716,0.506,3.69,2.78,,2.825,2.355,3.102,5.078,3.83,2.217,5.352,1.055,3.315,2.097,0.581,0.786,1.053,0.778,2.481,1.737,1.009,1.709,2.208,0.58,2.367,3.277,1.855,1.404,0.422,1.198,1.081,1.237,1.596,1.016,3.638,3.816,4.587,1.566,2.196,2.904,1.521,1.627,0.793,1.36,0.481,1.397,0.772,1.788,1.202,2.179,0.865,1.03,3.286,2.671,3.148,2.615,3.155,3.244,1.765,5.056,1.18
1993,0.278,1.069,0.794,0.107,0.476,0.092,0.243,0.931,0.68,0.413,0.778,0.353,0.701,0.413,0.22,0.352,0.669,0.376,0.915,0.592,4.947,4.985,,4.535,4.466,4.134,8.391,3.831,3.723,7.76,1.391,2.762,1.74,3.034,0.631,0.975,0.994,2.562,1.958,,1.627,1.713,0.525,1.715,3.308,1.863,1.748,0.486,1.155,1.031,0.867,1.207,0.849,4.3,2.891,3.58,1.406,1.828,1.989,1.273,2.85,0.949,0.922,0.926,1.176,1.117,2.254,1.631,1.929,1.124,1.167,1.877,2.436,2.724,1.92,2.149,2.78,1.495,3.53,1.43
1992,0.256,0.87,0.682,0.117,0.508,0.117,0.204,0.836,0.522,0.709,0.807,0.275,1.101,0.501,0.326,0.513,0.571,0.612,0.757,0.686,6.308,5.118,,4.098,3.734,5.448,7.534,5.438,4.7,8.346,1.712,4.168,2.794,2.301,0.938,1.867,1.168,2.975,1.771,,1.758,1.946,0.699,1.998,2.657,2.211,2.245,0.475,0.929,1.625,0.691,0.887,0.63,3.722,3.094,2.393,1.359,0.935,1.746,1.388,3.213,1.734,2.579,1.193,2.163,1.653,2.068,1.804,3.093,1.256,1.334,1.452,2.937,2.303,2.08,2.219,2.91,1.583,4.473,0.899
1991,0.187,0.83,0.546,0.12,0.412,0.125,0.217,0.778,0.467,0.548,0.746,0.354,0.94,0.455,0.362,0.437,0.698,0.453,0.7,0.616,5.923,3.776,,4.166,5.056,5.805,8.199,4.59,6.297,6.162,3.403,5.376,2.649,3.839,1.094,2.327,2.061,2.142,2.914,,1.691,1.889,0.753,1.882,2.634,1.948,2.211,0.463,1.001,1.808,0.52,1.359,0.729,1.84,3.241,2.954,1.895,0.803,1.782,0.868,3.513,1.549,2.007,1.061,1.94,1.112,0.98,2.876,2.217,0.787,0.546,1.252,1.984,2.428,1.709,1.965,2.017,0.697,3.654,1.011
1990,0.107,0.333,0.466,0.221,0.229,0.144,0.164,0.576,0.472,0.368,0.805,0.28,0.733,0.431,0.429,0.522,0.588,0.402,0.824,0.476,5.236,5.92,,3.714,4.834,4.803,7.597,4.265,6.173,5.856,3.052,5.599,2.122,3.953,0.611,1.631,2.2,2.448,2.608,,1.358,1.01,0.382,0.809,1.497,1.174,1.187,0.146,0.757,1.549,1.04,1.18,0.679,3,3.55,2.809,2.585,1.086,1.383,1.121,2.339,0.884,1.794,0.622,1.534,0.615,0.864,2.832,1.669,0.476,1.035,0.086,2.009,2.166,2.136,2.398,2.458,1.167,3.009,0.572
1989,0.279,0.342,0.524,0.147,0.408,0.152,0.159,0.455,0.271,0.382,0.704,0.376,0.737,0.491,0.368,0.434,0.495,0.498,0.936,0.512,0.862,1.028,,0.853,3.729,0.668,6.034,3.643,4.287,1.35,1.38,4.553,2.456,0.942,0.791,2.277,1.872,2.468,1.628,,1.227,1.292,0.501,1.275,2.448,1.125,1.387,0.355,0.702,2.151,0.767,0.799,0.65,2.623,2.813,2.425,2,0.957,1.479,0.935,2.734,1.466,1.662,0.728,1.692,0.895,2.279,2.585,1.291,0.395,0.83,0.362,1.189,1.372,1.807,1.954,1.946,0.7,1.738,1.956
1988,0.546,0.502,0.809,0.1,0.535,0.169,0.111,0.338,0.261,0.317,0.795,0.299,0.825,0.508,0.308,0.443,0.337,0.461,0.692,0.675,3.533,3.465,,2.377,3.736,2.781,5.914,3.862,1.918,3.211,4.395,7.098,3.832,1.574,1,3.304,3.137,1.769,2.157,,1.633,1.646,0.662,1.529,3.237,2.318,1.624,0.417,1.046,2.314,0.663,0.917,0.498,2.08,3.09,2.753,2.897,0.702,1.407,0.615,3.93,2.824,2.693,1.34,2.308,1.328,2.23,2.032,3.367,0.643,1.84,1.015,2.4,2.456,3.708,3.75,3.56,1.895,4.028,2.21
1987,0.406,1.087,0.802,0.086,0.758,0.181,0.283,0.701,0.499,0.482,0.924,0.416,1.482,0.774,0.366,0.684,0.528,0.524,0.968,0.656,3.821,3.026,,2.695,4.333,3.719,7.133,5.745,2.731,4.461,3.802,6.069,2.08,1.216,0.736,2.471,2.403,2.35,2.188,,1.527,1.191,0.829,1.594,2.634,1.917,1.608,0.332,1.089,2.007,1.011,1.047,0.761,5.691,3.684,3.088,3.552,0.773,1.288,0.687,2.154,1.86,1.865,1.011,2.651,1.168,2.62,2.586,2.194,0.694,1.826,2.191,3.477,2.836,3.101,3.727,3.8,1.607,4.05,1.213
1986,0.43,0.938,0.744,0.132,0.443,0.158,0.35,0.942,0.588,0.519,0.83,0.311,1.122,0.722,0.527,0.626,0.764,0.409,0.797,0.471,3.9,3.847,,3.414,6.197,4.676,8.571,7.656,4.294,5.13,3.782,6.853,2.921,3.532,0.88,2.228,1.979,1.658,2.153,,2.163,1.793,0.695,1.501,3.263,1.627,1.959,0.219,0.833,2.046,1,1.21,0.507,5.9,3.059,4.252,1.877,1.003,1.618,0.456,3.753,2.701,2.039,1.235,4.216,1.283,3.561,2.642,3.256,0.708,1.313,1.658,2.534,1.727,2.492,3.416,2.957,1.023,2.823,1.642
1985,0.427,0.851,0.798,0.19,0.396,0.13,0.201,0.842,0.448,0.392,0.917,0.357,1.421,0.856,0.541,0.671,0.446,0.49,0.854,0.591,4.53,4.94,,4.201,4.589,5.429,8.293,7.148,4.436,7.887,3.004,3.139,3.172,2.501,0.691,2.618,2.365,2.902,3.04,,1.569,1.463,0.486,1.345,1.68,1.148,1.611,0.349,0.739,1.747,1.073,0.978,0.493,3.692,3.638,3.101,2.685,0.618,0.721,0.622,2.805,2.327,2.124,1.014,3.676,0.837,3.279,1.924,2.885,0.424,1.641,1.169,2.926,2.131,1.899,3.747,3.149,1.085,3.549,0.751
1984,0.246,0.397,0.576,0.308,0.64,0.125,0.177,0.91,0.554,0.362,0.782,0.219,1.195,0.508,0.412,0.591,0.601,0.416,0.921,0.434,3.63,3.895,,3.588,4.536,4.621,7.083,6.076,4.371,5.244,3.412,2.704,2.019,1.541,0.631,2.478,1.636,2.562,1.691,,1.527,0.904,0.38,0.907,1.689,1.012,1.324,0.307,0.493,1.674,0.371,0.572,0.319,1.398,2.353,1.212,1.593,0.442,1.317,0.519,2.385,2.247,1.767,1.105,2.108,0.703,3.003,1.735,2.885,0.397,0.89,1.652,1.696,0.936,1.085,2.445,1.719,0.502,1.639,1.735
1983,0.404,0.271,0.485,0.067,0.583,0.118,0.247,0.586,0.462,0.262,0.973,0.309,1.572,0.788,0.56,0.995,0.425,0.486,0.727,0.552,4.475,3.357,,3.928,,4.15,8.155,7.917,6.038,6.719,2.718,2.286,2.918,2.62,0.648,2.218,1.421,1.515,1.359,,1.92,1.345,0.571,1.251,2.692,2.718,2.473,0.455,0.885,3.014,0.516,0.872,0.419,3.68,2.677,1.469,1.783,0.672,1.633,0.338,1.884,2.588,2.231,0.794,2.36,0.723,3.745,0.977,3.146,0.643,1.463,1.029,2.8,3.13,2.584,4.527,3.789,0.826,2.838,0.651
1982,0.348,1.388,0.572,0.041,0.616,0.11,0.192,0.83,0.459,0.398,0.747,0.323,1.344,0.824,0.661,0.676,0.688,0.481,0.602,0.513,4.238,6.833,,5.333,,5.251,7.786,6.604,5.056,7.684,3.273,,1.96,2.682,0.615,2.517,1.028,2.039,1.535,,2.215,1.494,0.691,1.347,1.931,2.085,2.404,0.352,0.616,2.29,0.163,0.709,0.215,1.149,2.749,2.667,0.815,0.279,1.277,0.228,2.281,2.05,1.827,0.8,2.59,0.713,4.141,1.156,2.99,0.81,1.889,2.143,3.067,4.404,2.54,5.001,4.254,2.04,3.098,1.793
1981,0.481,0.839,0.449,0.175,0.352,0.38,0.289,0.988,0.57,0.555,0.555,0.198,1.415,0.837,0.342,0.681,0.622,0.416,0.465,0.574,5.865,5.944,,4.48,,4.485,6.994,6.352,5.175,6.735,2.774,,1.244,2.222,0.522,2.318,1.049,1.423,0.911,,1.814,1.455,0.54,1.555,3.105,1.57,2.497,0.317,0.737,2.516,0.294,0.602,0.197,1.918,3.396,1.738,1.735,0.352,1.093,0.418,1.334,2.315,1.635,0.607,1.563,0.645,2.775,1.334,2.245,0.594,1.124,1.847,2.142,2.136,2.182,3.081,3.019,1.257,1.331,0.908
1980,0.278,0.927,0.782,0.223,0.347,0.04,0.089,0.428,0.295,0.249,0.347,0.182,0.719,0.397,0.271,0.453,0.572,0.209,0.305,0.274,4.772,6.753,,4.573,,5.118,,6.52,3.912,7.677,1.991,,2.238,1.606,0.635,1.923,1.69,1.129,0.812,,0.871,0.797,0.487,0.948,1.612,1.071,1.374,0.3,0.527,1.442,0.561,0.601,0.365,2.318,1.493,2.707,2.71,0.388,1.037,0.508,1.405,1.602,1.577,0.55,1.403,0.451,,2.823,1.253,0.849,1.319,0.738,1.937,1.919,1.868,2.752,2.112,0.971,1.5,1.249
1979,0.128,0.497,0.611,0.179,0.243,0.128,0.183,0.787,0.567,0.54,0.55,0.138,0.84,0.561,0.164,0.463,0.372,0.403,0.426,0.389,3.967,5.738,,3.867,,2.976,,6.392,8.466,6.715,2.518,,1.975,4.265,0.428,1.393,1.932,1.428,0.726,,1.384,0.928,0.536,0.96,2.536,1.484,1.205,0.281,0.659,1.913,0.392,0.913,0.345,3.39,3.267,2.153,2.61,0.492,0.479,0.66,1.694,2.098,1.742,0.542,1.206,0.616,,2.557,1.586,0.777,1.084,1.136,2.259,2.291,1.247,2.177,2.555,1.067,0.944,1.477
1978,0.176,0.452,0.327,0.301,0.322,0.308,0.108,0.532,0.31,0.274,0.524,0.186,1.048,0.714,0.278,0.565,0.448,0.248,0.465,0.458,4.568,7.569,,4.584,,4.491,,6.163,2.614,,1.321,,1.958,4.714,0.499,1.138,1.571,2.455,0.678,,1.415,1.012,0.61,1.145,2.536,1.31,1.225,0.292,0.838,1.856,0.313,0.577,0.386,2.952,2.291,2.185,3.076,0.341,0.618,0.389,1.555,1.708,0.872,0.247,1.549,0.511,,2.212,1.591,0.484,0.846,1.238,1.318,1.59,1.108,1.771,1.627,1.136,1.204,0.846
1977,0.654,0.449,0.286,0.27,0.392,0.254,0.079,0.691,0.28,0.259,1.01,0.245,1.131,0.775,0.216,0.77,0.499,0.514,0.428,0.67,4.05,7.178,,3.228,,4.377,,4.393,,,1.254,,2.368,3.287,0.327,1.287,1.573,1.623,0.94,,1.561,1.109,0.472,1.998,2.841,1.806,2.074,0.494,1.088,2.32,0.261,0.336,0.217,3.424,2.311,2.03,1.286,0.253,1.665,0.197,2.374,2.072,2.113,0.705,1.833,1.092,,2.239,3.02,0.881,1.565,0.99,3.14,3.311,2.61,3.189,3.337,2.013,1.872,2.288
1976,0.246,0.423,0.706,0.155,0.602,0.296,0.153,1.174,0.391,0.414,0.888,0.313,1.306,0.836,0.268,0.604,0.491,0.408,0.378,0.624,2.533,7.692,,2.988,,3.381,,3.912,,,1.406,,2.484,3.765,0.458,2.138,2.378,2.886,1.036,,1.56,0.901,0.442,1.559,2.982,1.714,2.009,0.716,1.161,1.914,0.487,0.658,0.383,0.613,2.885,1.126,1.538,0.427,1.869,0.508,2.04,1.823,1.837,0.413,1.495,0.734,,1.648,2.382,0.976,0.902,1.176,1.255,1.763,0.709,2.114,2.015,1.21,1.063,1.458
1975,0.232,0.265,0.41,0.162,0.515,0.246,0.309,0.897,0.669,0.669,1.057,0.482,1.589,0.728,0.102,0.891,0.735,0.378,0.469,0.659,3.382,,,2.886,,2.723,,4.875,,,2.097,,3.121,2.971,0.945,2.415,2.243,1.56,0.671,,1.692,0.984,0.962,1.87,3.045,1.976,1.996,0.543,1.154,3.563,0.723,1.48,0.567,1.155,,3.069,2.132,0.777,1.328,0.871,2.093,1.92,1.983,0.478,1.603,0.713,,1.865,2.333,1.033,0.8,0.561,1.425,1.575,1.081,2.255,1.864,1.341,1.763,1.76
