Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
1974,0.289,0.637,0.572,0.29,0.473,0.156,0.229,0.584,0.542,0.448,1.047,0.298,1.53,0.756,0.224,0.661,0.767,0.391,0.325,0.524,3.302,,,3.399,,2.358,,4.415,,,1.653,,2.373,3.072,1.955,3.067,1.832,3.104,0.636,,1.963,1.304,0.776,1.652,3.088,1.459,2.164,1.015,1.432,3.642,0.512,0.84,0.414,2.238,,1.593,3.785,0.911,1.372,0.549,1.855,1.379,1.876,0.289,1.351,0.312,,2.394,2.169,0.787,0.243,0.523,0.983,0.689,2.111,1.156,0.997,0.686,0.827,0.548
1973,0.248,1.551,0.511,0.209,0.409,0.145,0.078,0.448,0.385,0.453,0.826,0.352,1.005,0.573,0.202,0.742,0.584,0.321,0.338,0.434,3.49,,,3.182,,2.556,,4.441,,,2.385,,1.831,2.165,1.403,2.335,1.659,2.063,0.907,,1.804,1.149,0.559,1.312,2.293,1.913,1.661,1.097,1.309,1.994,0.532,1.039,0.291,3.745,,3.408,2.839,1.085,1.757,0.635,1.606,1.43,1.672,0.604,1.825,0.565,,2.393,2.378,0.658,0.759,0.644,1.925,1.311,1.218,1.277,0.983,0.803,1.226,0.971
1972,0.383,2.145,0.44,0.112,0.467,0.322,0.14,0.611,0.567,0.515,0.84,0.45,1.264,0.609,0.219,0.648,0.517,0.31,0.369,0.452,3.534,,,4.359,,2.12,,4.018,,,2.484,,1.676,2.192,1.049,2.91,1.967,2.445,1.144,,1.673,1.084,0.391,1.253,2.216,1.67,2.087,0.575,0.966,2.748,0.653,1.198,0.682,2.821,,5.507,3.067,1.638,1.603,1.096,2.195,1.796,1.5,0.351,1.251,0.294,,3.294,2.346,0.673,0.892,0.711,2.442,1.623,2.21,3.488,2.047,1.407,3.382,1.388
1971,0.419,2.588,0.607,0.213,0.642,0.137,0.215,0.303,0.578,0.365,0.465,0.218,1.245,0.689,0.186,0.295,0.607,0.306,0.2,0.206,4.158,,,2.096,,3.561,,4.754,,,2.315,,1.864,1.778,0.834,2.046,2.062,2.347,0.786,,1.629,1.219,0.475,1.186,2.855,1.476,1.943,0.835,1.085,1.999,0.814,0.888,0.389,1.926,,4.44,4.193,1.346,0.854,0.97,2.72,2.926,2.033,0.91,2.324,0.734,,2.321,3.364,1.508,1.586,1.6,2.684,3.304,3.62,4.922,3.348,2.205,,2.116
1970,0.365,2.832,0.517,0.366,0.568,0.205,0.29,0.822,0.816,0.549,1.071,0.379,0.965,1.115,0.142,0.697,0.459,0.402,0.313,0.349,4.472,,,0.586,,3.09,,5.744,,,2.423,,0.959,3.069,2.142,1.877,2.757,2.125,0.977,,2.464,1.533,0.61,1.879,3.801,1.906,2.356,0.801,1.424,2.536,0.496,0.931,0.407,3.154,,2.306,3.959,0.915,1.877,0.743,2.881,2.964,2.099,0.919,2.68,0.92,,2.704,3.231,1.281,1.528,1.872,1.833,2.776,,4.846,3.436,1.983,,2.342
1969,0.256,1.739,0.546,0.469,0.496,0.225,0.323,1.022,0.866,0.604,1.271,0.312,1.846,1.565,0.226,0.911,0.417,0.552,0.486,0.539,6.121,,,1.002,,2.354,,5.578,,,2.484,,1.096,1.712,2.173,1.684,2.747,2.564,1.382,,2.98,2.57,0.932,3.851,5.306,2.71,3.794,0.693,1.441,3.485,0.516,0.917,0.444,2.803,,3.298,2.876,1.411,2.54,0.94,3.828,3.24,2.61,1.314,3.6,1.085,,1.797,4.617,2.192,1.647,2.019,2.362,3.215,,5,3.344,2.198,,2.441
1968,0.166,1.201,0.6,0.531,0.518,0.314,0.197,0.891,0.623,0.46,0.767,0.28,1.858,1.131,0.558,0.714,0.67,0.4,0.441,0.424,,,,1.079,,2.319,,3.741,,,1.839,,0.998,1.81,0.869,1.367,2.191,1.893,0.559,,1.999,1.695,0.643,2.14,,1.574,1.83,1.263,0.924,2.107,0.372,0.59,0.423,3.502,,2.353,3.325,1.304,0.786,1.155,2.354,1.838,2.307,0.757,2.828,0.696,,1.676,2.974,1.328,1.715,2.551,2.938,4.548,,5.081,3.974,2.422,,2.46
1967,0.435,0.731,0.309,0.419,0.231,0.496,0.255,1.251,0.538,0.491,1.187,0.382,1.959,1.372,0.305,0.798,0.394,0.447,0.471,0.517,,,,0.912,,0.506,,2.105,,,1.969,,0.81,1.486,0.914,2.146,2.652,2.075,0.763,,2.449,1.837,0.72,2.874,,2.712,2.313,0.547,0.825,2.251,0.212,0.478,0.441,4.495,,1.479,2.292,0.722,0.783,0.669,2.009,2.231,2.1,0.524,4.202,0.796,,1.078,3.317,1.56,1.173,1.927,2.175,3.003,,3.377,3.411,1.464,,1.573
1966,0.296,1.633,0.527,0.305,0.483,0.52,0.216,0.91,0.47,0.212,1.226,0.24,1.664,1.114,0.348,0.781,0.717,0.292,0.561,0.386,,,,1.397,,1.652,,0.993,,,1.627,,1.259,1.648,0.735,2.008,2.847,1.497,0.917,,1.32,1.448,0.426,1.735,,1.49,1.958,0.6,0.488,1.022,0.205,0.204,0.322,2.43,,1.526,1.543,0.611,1.943,0.587,1.575,1.392,1.502,0.304,2.198,0.266,,0.339,2.589,0.609,1.007,1.1,1.815,2.16,,2.828,3.064,1.25,,0.975
1965,0.403,0.716,0.372,0.502,0.256,0.526,0.4,1.669,1.012,0.545,1.022,0.155,2.225,1.142,0.288,0.684,0.678,0.225,0.454,0.399,,,,,,1.032,,0.936,,,1.485,,0.942,3.734,0.764,2.299,2.835,2.122,0.793,,1.524,1.097,0.773,1.931,,2.505,2.489,0.489,0.867,0.455,0.624,0.642,0.746,1.111,,2.328,0.983,1.829,1.672,1.157,2.317,1.488,1.826,0.441,2.861,0.862,,1.378,2.907,1.305,2.213,1.86,2.951,5.231,,4.109,4.416,2.792,,2.157
