site,year,month,ppt,tmin,tmean,tmax,vpdmin,vpdmax,vpdmean
BH,2008,3,49.96,-8.1,-2.1,3.8,1.11,5.91,3.51
BH,2008,4,44.53,-5.3,0.9,7.2,1.66,8.25,4.955
BH,2008,5,76.1,0.3,6.3,12.2,1.52,10.9,6.21
BH,2008,6,33.11,5.1,12.2,19.3,3.22,18.42,10.82
BH,2008,7,28.82,10,17.4,24.8,4.75,25.21,14.98
BH,2008,8,110.94,8.5,15.3,22.1,3.23,19.82,11.525
BH,2008,9,50.48,3.7,10.5,17.3,1.72,14.32,8.02
BH,2008,10,24.83,0.2,6.2,12.2,2.4,10.78,6.59
BH,2008,11,8.67,-2.6,2.4,7.5,2.11,8.09,5.1
BH,2008,12,43.05,-10.2,-5.1,0,0.87,3.96,2.415
BH,2009,1,41.32,-6.9,-2.5,1.9,1.72,5.11,3.415
BH,2009,2,15.34,-6.2,-1.6,3.1,1.53,5.87,3.7
BH,2009,3,40.72,-5.7,0.4,6.5,1.86,8.18,5.02
BH,2009,4,161.5,-4,1.5,7,1.05,7.11,4.08
BH,2009,5,64.25,2.5,8.2,14,1.7,11.15,6.425
BH,2009,6,73.54,5.2,11.3,17.5,1.88,14.16,8.02
BH,2009,7,45.27,8.5,15.3,22.1,3.13,20.13,11.63
BH,2009,8,18.48,7.8,14.9,22,4.05,21.25,12.65
BH,2009,9,31.95,4.9,11.3,17.8,2.89,16.36,9.625
BH,2009,10,80.76,-4.2,1.5,7.2,1.19,7.41,4.3
BH,2009,11,22.31,-2.9,2.3,7.5,2.62,9.17,5.895
BH,2009,12,40.65,-12.1,-7.2,-2.2,1.1,4.09,2.595
BH,2010,1,15.25,-8,-3.2,1.7,1.65,5.48,3.565
BH,2010,2,35.1,-10.9,-6,-1.1,0.98,4.04,2.51
BH,2010,3,93.07,-6.5,-0.6,5.3,1.36,7.07,4.215
BH,2010,4,100.53,-3.4,2.2,7.9,1.15,8.18,4.665
BH,2010,5,62.7,-1.1,4.9,10.9,1.46,9.89,5.675
BH,2010,6,65.04,6.5,13.2,19.9,2.81,17.27,10.04
BH,2010,7,63.8,9.6,16.3,23.1,3.07,20.42,11.745
BH,2010,8,51.84,9.2,15.9,22.5,3.3,19.44,11.37
BH,2010,9,6.64,5.9,13.5,21,4.51,21.32,12.915
BH,2010,10,54.48,1.2,6.7,12.2,1.96,10.67,6.315
BH,2010,11,23.4,-5.7,-0.6,4.5,1.56,6.58,4.07
BH,2010,12,36.14,-6.4,-1.7,2.9,1.35,4.8,3.075
BH,2011,1,29.87,-9.1,-4.9,-0.6,1.18,3.84,2.51
BH,2011,2,49.49,-12.1,-6.5,-1,1.05,4.33,2.69
BH,2011,3,32.14,-5.6,0.1,5.8,1.28,7.06,4.17
BH,2011,4,84.59,-3.7,1.7,7,1.2,6.86,4.03
BH,2011,5,102.85,-0.7,4.6,9.9,1.15,8.42,4.785
BH,2011,6,39.68,5.3,12.7,20,2.99,18.72,10.855
BH,2011,7,105.56,10.3,17,23.6,2.55,20.07,11.31
BH,2011,8,42.14,10.5,17.4,24.4,4.11,23.25,13.68
BH,2011,9,46.41,5.3,11.3,17.3,2.88,14.43,8.655
BH,2011,10,47.84,0.4,6,11.6,2.61,10.89,6.75
BH,2011,11,30.51,-5.2,-0.1,5.1,1.88,6.73,4.305
BH,2011,12,56.67,-9.4,-4.2,1.1,1.28,4.65,2.965
BH,2012,1,23.68,-7.1,-2.2,2.7,1.8,5.67,3.735
BH,2012,2,64.27,-10.7,-5.2,0.3,0.79,4.11,2.45
BH,2012,3,3.02,-3.4,2.9,9.2,2.54,10.47,6.505
BH,2012,4,40.67,-0.9,5.5,12,1.94,11.34,6.64
BH,2012,5,48.29,1.5,8.1,14.6,2.36,13.26,7.81
BH,2012,6,9,8.7,16.2,23.7,5.76,25.06,15.41
BH,2012,7,182.44,10.7,17.3,23.8,3.47,21.18,12.325
BH,2012,8,32.82,9.4,16.3,23.2,4.07,21.86,12.965
BH,2012,9,50.27,5.3,12.1,18.8,3.05,16.82,9.935
BH,2012,10,31.59,-0.8,4.8,10.5,2.13,9.4,5.765
BH,2012,11,3.88,-1.9,3,7.9,2.55,8.28,5.415
BH,2012,12,35.98,-8.6,-3.9,0.7,1.39,4.71,3.05
BH,2013,1,10.3,-9.4,-4.3,0.8,1.67,5.17,3.42
BH,2013,2,36.46,-10.3,-5.4,-0.5,0.96,4.11,2.535
BH,2013,3,55.34,-7.4,-1.7,4,1.16,5.93,3.545
BH,2013,4,109.39,-6.5,-0.5,5.4,0.85,6.38,3.615
BH,2013,5,86.33,0.8,6.9,13,1.77,10.98,6.375
BH,2013,6,16.52,6.5,14.1,21.7,3.68,21.23,12.455
BH,2013,7,111.45,9.5,16,22.6,2.41,18.67,10.54
BH,2013,8,81.35,9.5,16.1,22.6,2.98,19.51,11.245
BH,2013,9,275.07,6.8,12.2,17.7,1.68,11.99,6.835
BH,2013,10,40.07,-1.5,3.7,8.9,1.52,7.48,4.5
BH,2013,11,17,-4.3,0.6,5.4,1.61,6.55,4.08
BH,2013,12,23.51,-9.8,-5.3,-0.9,1.5,4.63,3.065
BH,2014,1,60.13,-8.2,-3.9,0.4,1.57,4.33,2.95
BH,2014,2,58.49,-9.7,-4.7,0.3,0.92,4.18,2.55
BH,2014,3,50.72,-6.4,-0.5,5.5,1.29,6.92,4.105
BH,2014,4,57.8,-3.7,2.2,8,1.4,8.23,4.815
BH,2014,5,119.34,1.1,7,12.9,1.69,10.89,6.29
BH,2014,6,14.78,5.2,12.7,20.1,2.86,18.09,10.475
BH,2014,7,92.44,9.9,16.3,22.7,3.13,19.21,11.17
BH,2014,8,56.63,8.2,14.3,20.3,2.47,15.82,9.145
BH,2014,9,41.05,5.9,12.3,18.7,2.36,14.4,8.38
BH,2014,10,35.04,1.8,7.4,13,2.49,11.18,6.835
BH,2014,11,30.63,-6.3,-1.1,4,1.94,6.64,4.29
BH,2014,12,41.99,-7.8,-3.1,1.7,1.52,5.15,3.335
BH,2015,1,17.62,-7.1,-2.1,2.9,1.2,5.03,3.115
BH,2015,2,90.95,-7.9,-2.7,2.5,1.42,5.26,3.34
BH,2015,3,28.37,-4.4,1.7,7.7,1.59,8.29,4.94
BH,2015,4,129.16,-2.5,3.2,9,1.43,8.17,4.8
BH,2015,5,154.97,0.4,5.5,10.5,0.5,6.88,3.69
BH,2015,6,56.97,8,14.5,21,2.38,17.36,9.87
BH,2015,7,99.55,9.2,15.4,21.6,2.65,17.39,10.02
BH,2015,8,31.88,9.3,16.2,23.2,3.82,21.69,12.755
BH,2015,9,9.8,7.3,14.1,20.9,4.07,19.58,11.825
BH,2015,10,67.82,2.7,8.2,13.6,2.17,11.01,6.59
BH,2015,11,50.09,-5.6,-0.5,4.7,1.8,6.57,4.185
BH,2015,12,39.51,-8.8,-4.3,0.2,1.37,4.48,2.925
BH,2016,1,16.12,-8,-3.4,1.2,1.39,4.91,3.15
BH,2016,2,50.74,-5.9,-1.2,3.5,1.89,6.05,3.97
BH,2016,3,100.31,-6,-0.5,4.9,1.31,6.44,3.875
BH,2016,4,103.02,-2.9,2.5,7.9,1.1,7.23,4.165
BH,2016,5,60.97,0,5.9,11.9,1.18,9.27,5.225
BH,2016,6,25.17,8,15.3,22.6,2.99,21.08,12.035
BH,2016,7,28.88,10.3,17.4,24.5,4.26,24.59,14.425
BH,2016,8,80.64,8,14.6,21.3,2.78,18.7,10.74
BH,2016,9,17.1,5.2,12.2,19.2,2.89,16.53,9.71
BH,2016,10,16.34,2.4,8.3,14.2,3.27,12.61,7.94
BH,2016,11,19.13,-1.9,3.5,8.8,2.3,8.96,5.63
BH,2016,12,56.98,-10,-5.1,-0.1,1.13,4.03,2.58
BH,2017,1,76.25,-9.7,-5.1,-0.5,0.94,3.93,2.435
BH,2017,2,38.55,-5.2,-0.1,5,1.72,6.36,4.04
BH,2017,3,42.12,-2.6,3,8.7,1.83,8.6,5.215
BH,2017,4,87.42,-3.4,2.6,8.7,1.24,8.34,4.79
BH,2017,5,160.64,0.5,6.4,12.3,1.16,9.97,5.565
BH,2017,6,14.44,6.7,13.9,21.1,3.11,18.98,11.045
BH,2017,7,53.04,10.2,16.9,23.6,3.22,20.83,12.025
BH,2017,8,64.32,8,14.5,20.9,2.59,17.05,9.82
BH,2017,9,57.36,5.5,11.8,18,2.74,15.18,8.96
BH,2017,10,60.32,-1.2,4.9,11,2.2,10.1,6.15
BH,2017,11,29.72,-1.7,3.4,8.5,1.94,8.27,5.105
BH,2017,12,32.07,-6.4,-1.6,3.2,1.96,6.15,4.055
BH,2018,1,24.77,-6.2,-1.8,2.7,1.8,5.59,3.695
BH,2018,2,45.66,-9.7,-4.4,0.8,0.93,4.36,2.645
BH,2018,3,47.4,-6.3,-0.3,5.6,1.3,6.66,3.98
BH,2018,4,53.63,-3.7,2.6,8.9,1.5,8.63,5.065
BH,2018,5,95.67,3.1,9.2,15.2,1.82,11.83,6.825
BH,2018,6,41.26,8,15.2,22.5,4.8,22.13,13.465
BH,2018,7,45.64,9.7,16.7,23.7,3.68,21.77,12.725
BH,2018,8,18.7,8.4,15.4,22.4,3.55,20.36,11.955
BH,2018,9,16.38,7,14,21,5.03,20.49,12.76
BH,2018,10,55.32,-1,4.3,9.5,1.31,7.97,4.64
BH,2018,11,40.73,-6.4,-2.1,2.2,1.24,4.71,2.975
BH,2018,12,9.67,-8.6,-4,0.5,1.36,4.47,2.915
BH,2019,1,46.3,-8.6,-3.8,1,1.17,4.42,2.795
BH,2019,2,28.98,-10.4,-5,0.4,1.1,4.59,2.845
BH,2019,3,90.37,-7.4,-1.6,4.1,0.86,5.36,3.11
BH,2019,4,56.03,-2.5,3.3,9.1,1.15,8.08,4.615
BH,2019,5,98.03,-1.2,4.1,9.3,1.06,7.49,4.275
BH,2019,6,65.09,4.7,11.3,17.9,1.92,14.35,8.135
BH,2019,7,58.92,9.9,16.9,24,3.66,21.3,12.48
BH,2019,8,53.28,9.3,16.3,23.4,3.36,21.16,12.26
BH,2019,9,28.76,6.6,13.8,21,3.5,19.25,11.375
BH,2019,10,59.08,-4.5,1.6,7.6,2.02,9.16,5.59
BH,2019,11,45.87,-5.4,0.1,5.6,1.71,6.99,4.35
BH,2019,12,26.73,-7.1,-2.8,1.5,1.58,5.27,3.425
BH,2020,1,11.31,-8.1,-3.6,0.9,1.32,4.64,2.98
BH,2020,2,67.05,-11.5,-6.2,-0.9,0.86,4.11,2.485
BH,2020,3,76.27,-5,0.4,5.9,1.1,6.34,3.72
BH,2020,4,73.58,-4.4,1.6,7.5,1.46,7.81,4.635
BH,2020,5,38.28,1.7,8.5,15.2,1.31,12.69,7
BH,2020,6,42.87,6.4,13.6,20.9,3.13,18.76,10.945
BH,2020,7,34.17,9.8,17,24.2,4.14,23.16,13.65
BH,2020,8,27.35,10.1,17.7,25.3,5.96,26.18,16.07
BH,2020,9,29.76,4.5,11.7,18.8,3.86,18.77,11.315
BH,2020,10,21.31,-1.6,5.8,13.1,3.04,12.89,7.965
BH,2020,11,26.22,-3.5,2,7.5,2.2,8.82,5.51
BH,2020,12,21.7,-8.9,-3.6,1.8,1.43,5.73,3.58
BH,2021,1,16.86,-8.9,-4,1,1.16,4.65,2.905
BH,2021,2,54.14,-11.2,-6.2,-1.1,0.95,4.05,2.5
BH,2021,3,105.44,-7.6,-1.8,4,1.18,5.87,3.525
BH,2021,4,93.36,-5.5,0.8,7.1,1.56,7.36,4.46
BH,2021,5,117.5,0.5,6.6,12.8,1.51,10.11,5.81
BH,2021,6,73.77,7.8,14.5,21.2,4.8,19.97,12.385
BH,2021,7,46.68,10.5,16.9,23.3,3.95,19.86,11.905
BH,2021,8,45.54,8.9,15.4,22,4.49,19.5,11.995
BH,2021,9,20.43,7,13.8,20.7,4.35,20.1,12.225
BH,2021,10,20,1.1,6.4,11.7,2.17,10.19,6.18
FC,1999,1,26.26,-6.9,0.1,7.2,1.4,7.78,4.59
FC,1999,2,2.21,-5,2.3,9.5,1.95,9.31,5.63
FC,1999,3,18.29,-3.4,4.1,11.6,1.36,11.68,6.52
FC,1999,4,193.47,-3.6,2.2,8.1,0.94,7.46,4.2
FC,1999,5,102.76,1.7,7.8,14,1.06,11.2,6.13
FC,1999,6,75.44,7.5,13.6,19.6,2.31,15.21,8.76
FC,1999,7,36.72,12.4,19.4,26.5,3.2,25.07,14.135
FC,1999,8,65.74,11.3,17.7,24,2.4,19.51,10.955
FC,1999,9,45.9,3.9,11.1,18.4,1.54,15.3,8.42
FC,1999,10,26.25,2.1,8.8,15.6,3.51,15.37,9.44
FC,1999,11,18.1,-0.8,6.5,13.7,3.63,13.91,8.77
FC,1999,12,6.8,-3.5,0.8,5,2.37,8.06,5.215
FC,2000,1,15.32,-6.6,-0.4,5.9,1.37,6.68,4.025
FC,2000,2,17.13,-5.5,2,9.6,1.33,9.77,5.55
FC,2000,3,47.74,-2.7,3.6,9.9,1.27,9.63,5.45
FC,2000,4,33.52,-0.3,6.6,13.6,1.94,12.73,7.335
FC,2000,5,45.69,5.9,11.8,17.7,3.04,15.28,9.16
FC,2000,6,33.04,9.8,16,22.2,4.59,20.94,12.765
FC,2000,7,48.92,14.4,20.9,27.3,5.59,29.18,17.385
FC,2000,8,71.05,12.4,19.4,26.4,4.71,25.94,15.325
FC,2000,9,74.26,6,13.1,20.2,3.21,18.4,10.805
FC,2000,10,14.64,0.8,6.8,12.7,1.29,9.61,5.45
FC,2000,11,19.67,-8.2,-2.4,3.4,0.82,5.34,3.08
FC,2000,12,12.68,-6.8,-1.5,3.8,0.75,5.29,3.02
FC,2001,1,10.98,-6.6,-1.1,4.3,1.56,5.95,3.755
FC,2001,2,8.77,-6.8,-1,4.8,1.1,6.07,3.585
FC,2001,3,35.48,-3.9,1,6,0.83,5.76,3.295
FC,2001,4,73.14,-1.7,4.4,10.5,1.01,8.95,4.98
FC,2001,5,94.22,3.4,9.6,15.8,1.89,13.11,7.5
FC,2001,6,20.45,8.1,15.7,23.3,3.3,22.59,12.945
FC,2001,7,34.42,14.3,21,27.7,5.98,28.59,17.285
FC,2001,8,71.22,13.3,19.3,25.2,5.57,23.03,14.3
FC,2001,9,29.15,8.3,15.3,22.2,4.37,21.52,12.945
FC,2001,10,14.96,2.3,8.4,14.5,3.19,13.23,8.21
FC,2001,11,23.95,-1.8,4.4,10.6,2.13,10.34,6.235
FC,2001,12,5.69,-7.2,-1.5,4.2,1.37,5.99,3.68
FC,2002,1,22.05,-9,-3.1,2.8,1.35,5.72,3.535
FC,2002,2,10.26,-9.3,-2.5,4.3,1.36,7.09,4.225
FC,2002,3,38.97,-9.1,-2.2,4.7,0.89,6.55,3.72
FC,2002,4,21.62,-1.3,5.2,11.7,1.76,10.71,6.235
FC,2002,5,67.48,1,7.9,14.9,1.41,12.38,6.895
FC,2002,6,26.65,10,17.6,25.1,5.3,26.33,15.815
FC,2002,7,21.11,13.8,21.3,28.8,6.67,31.63,19.15
FC,2002,8,29.43,8.9,17,25.1,3.08,24.58,13.83
FC,2002,9,57.96,7.7,14,20.3,4.17,18.7,11.435
FC,2002,10,38.02,-2.7,3.9,10.5,1.5,9.71,5.605
FC,2002,11,25.13,-5.1,0.9,6.9,1.53,8.38,4.955
FC,2002,12,1.44,-6.2,-0.7,4.8,1.57,6.82,4.195
FC,2003,1,1.05,-1.8,2.8,7.4,2.69,8.32,5.505
FC,2003,2,38.43,-10.2,-4.2,1.9,1.04,5.34,3.19
FC,2003,3,139.98,-4.7,0.9,6.6,1.45,7.25,4.35
FC,2003,4,67.38,-0.1,6,12,2.01,11.17,6.59
FC,2003,5,67.84,3.1,9.3,15.6,1.93,13.41,7.67
FC,2003,6,65.54,5.9,12.3,18.7,0.91,13.8,7.355
FC,2003,7,27.99,14,21.5,29,7.54,32.99,20.265
FC,2003,8,60.44,13.3,20,26.7,5.38,26.76,16.07
FC,2003,9,19.4,4.2,11.8,19.5,2.36,17.55,9.955
FC,2003,10,4.28,3.7,10.8,17.9,4.61,18.59,11.6
FC,2003,11,18.11,-5.9,0.5,6.9,1.27,7.72,4.495
FC,2003,12,15.75,-6.1,-0.3,5.4,1.75,7.25,4.5
FC,2004,1,12.89,-6.3,-0.8,4.6,2.01,7.34,4.675
FC,2004,2,24.63,-8,-2.4,3.3,1.33,5.88,3.605
FC,2004,3,11.86,-3.5,3.7,10.8,1.71,10.87,6.29
FC,2004,4,96.16,-0.8,5.2,11.2,1.59,9.84,5.715
FC,2004,5,44.66,3.6,10.3,17.1,2.86,15.56,9.21
FC,2004,6,86.11,6.4,13,19.6,2.09,16.05,9.07
FC,2004,7,97.52,10.8,17.2,23.6,2.98,20.3,11.64
FC,2004,8,116.21,9,15.5,22.1,2.65,18.3,10.475
FC,2004,9,59.76,7,13.2,19.3,3.39,16.57,9.98
FC,2004,10,47.85,1.8,7.8,13.8,1.44,10.83,6.135
FC,2004,11,44.79,-4.3,1.6,7.4,1.28,7.57,4.425
FC,2004,12,7.03,-5.8,-0.7,4.5,1.6,6.27,3.935
FC,2005,1,23.5,-5.4,0.7,6.8,1.32,7.76,4.54
FC,2005,2,14.63,-6,-0.7,4.6,1.24,6.05,3.645
FC,2005,3,29.43,-5,1,7.1,1.19,7.5,4.345
FC,2005,4,74.38,-1.4,4.6,10.6,1.48,9.53,5.505
FC,2005,5,59.85,2.6,8.8,15,1.94,12.52,7.23
FC,2005,6,89.28,8.1,14.3,20.6,3,17.66,10.33
FC,2005,7,34.45,13.8,21,28.3,7.75,32.16,19.955
FC,2005,8,49.18,11.2,17.9,24.6,4.08,23.02,13.55
FC,2005,9,11.34,7.8,15.1,22.4,4.39,22.36,13.375
FC,2005,10,65.41,2.3,8.6,14.9,2.32,13.4,7.86
FC,2005,11,7.28,-0.4,4.6,9.6,3.45,10.52,6.985
FC,2005,12,6.87,-8.5,-2.2,4,1.77,6.74,4.255
FC,2006,1,5.68,-5.2,0.6,6.5,2.32,8.22,5.27
FC,2006,2,19.82,-8.7,-2.8,3.1,1.7,6.65,4.175
FC,2006,3,44.17,-5.9,0.1,6.2,1.59,7.38,4.485
FC,2006,4,10.94,-0.5,6.7,14,2.5,14.23,8.365
FC,2006,5,35.07,4.9,11.5,18,3.51,17.13,10.32
FC,2006,6,13.79,9.9,17.5,25.1,5.58,27.09,16.335
FC,2006,7,83.12,12.8,19.6,26.4,4.53,25.83,15.18
FC,2006,8,51.9,11.7,18.2,24.8,3.97,23.05,13.51
FC,2006,9,32.7,4.7,11.1,17.6,2.05,14.91,8.48
FC,2006,10,50.51,0.5,6.7,12.9,1.8,11.23,6.515
FC,2006,11,20.21,-3.5,2.8,9.1,1.75,9.46,5.605
FC,2006,12,71.12,-6.5,-0.9,4.7,1.44,6.33,3.885
FC,2007,1,28.2,-9,-3.8,1.3,1.37,5.31,3.34
FC,2007,2,18.38,-7,-0.8,5.3,1.2,6.43,3.815
FC,2007,3,48.65,-1.9,4,9.9,1.65,9.65,5.65
FC,2007,4,38.08,-1.5,4.1,9.7,0.97,8.39,4.68
FC,2007,5,63.76,4.4,10.6,16.7,2.18,14.01,8.095
FC,2007,6,13.55,9,16,23,4.11,22.97,13.54
FC,2007,7,47.72,13.5,20.6,27.7,4.85,28.23,16.54
FC,2007,8,66.26,12.6,19.4,26.2,3.64,24.72,14.18
FC,2007,9,37.5,6.5,14.1,21.6,2.58,19.6,11.09
FC,2007,10,80.97,2.1,8.9,15.8,2.48,15.1,8.79
FC,2007,11,10.81,-3.1,3.2,9.6,2.3,10,6.15
FC,2007,12,29.07,-10,-4.2,1.5,0.88,4.66,2.77
FC,2008,1,5.83,-10.9,-5,0.9,0.98,4.9,2.94
FC,2008,2,17.84,-8.7,-2.4,3.9,0.87,5.94,3.405
FC,2008,3,29.81,-6.8,-0.5,5.8,1.09,6.8,3.945
FC,2008,4,32.16,-5.1,1.7,8.4,1.3,8.97,5.135
FC,2008,5,69.54,0.7,7.8,14.8,1.1,12.83,6.965
FC,2008,6,71.81,6.1,13.3,20.5,2.71,18.76,10.735
FC,2008,7,26.32,12.7,20.1,27.5,5.63,29.49,17.56
FC,2008,8,103.18,10.6,17.4,24.1,3.44,22.22,12.83
FC,2008,9,43.8,5.2,12,18.9,1.54,15.4,8.47
FC,2008,10,26.64,1.3,7.9,14.4,2.36,12.78,7.57
FC,2008,11,2.94,-1.9,4.7,11.4,1.97,11.14,6.555
FC,2008,12,19.57,-9.7,-3.6,2.5,0.74,5.17,2.955
FC,2009,1,16.62,-6.1,-0.4,5.4,1.82,7.32,4.57
FC,2009,2,6.97,-5.6,0.2,6.1,1.4,7.42,4.41
FC,2009,3,31.49,-4.4,2,8.5,1.86,9.37,5.615
FC,2009,4,142.64,-2.4,3.4,9.2,0.94,8.48,4.71
FC,2009,5,89.16,3.8,9.7,15.5,1.64,12.26,6.95
FC,2009,6,89.02,6.1,12.6,19,1.2,14.46,7.83
FC,2009,7,81.59,9.9,16.8,23.7,2.46,20.71,11.585
FC,2009,8,40.17,9.4,16.6,23.7,3.63,22.68,13.155
FC,2009,9,19.85,6.4,13.2,20,3.08,18.45,10.765
FC,2009,10,65.08,-4.2,2.2,8.6,0.79,8.07,4.43
FC,2009,11,18.76,-2.4,3.5,9.5,2.3,10.31,6.305
FC,2009,12,32.55,-10.9,-5.8,-0.6,1.1,4.44,2.77
FC,2010,1,7.01,-7.2,-1.5,4.2,1.72,6.8,4.26
FC,2010,2,21.57,-10,-4.9,0.2,0.95,4.38,2.665
FC,2010,3,59.13,-4.3,1.1,6.5,1.59,7.33,4.46
FC,2010,4,118.27,-2.2,3.5,9.3,0.98,8.33,4.655
FC,2010,5,65.11,0.7,6.7,12.8,1.31,10.47,5.89
FC,2010,6,64.36,7.8,14.4,21.1,2.1,17.51,9.805
FC,2010,7,69.45,11.7,18.9,26.2,3.11,24.83,13.97
FC,2010,8,39.04,11.5,18.5,25.5,3.79,23.71,13.75
FC,2010,9,7.83,6.9,15.3,23.7,4.29,25.47,14.88
FC,2010,10,31.2,4.1,9.8,15.6,2.51,13.43,7.97
FC,2010,11,22.01,-4.1,1.7,7.5,1.52,8.31,4.915
FC,2010,12,9.08,-4.6,0.8,6.2,1.45,6.5,3.975
FC,2011,1,11.17,-7.1,-1.5,4,1.44,6.31,3.875
FC,2011,2,22.57,-10.1,-4.1,1.9,1.17,5.69,3.43
FC,2011,3,7.07,-3.4,3,9.3,1.41,9.42,5.415
FC,2011,4,71.63,-1.3,4.3,9.9,1.34,8.54,4.94
FC,2011,5,113.75,1.7,6.8,12,1.28,9.61,5.445
FC,2011,6,57.97,8.4,15.3,22.1,3.64,21.04,12.34
FC,2011,7,102.86,13.8,20.3,26.7,4.03,25.04,14.535
FC,2011,8,17.8,14.2,21.3,28.3,6.16,30.74,18.45
FC,2011,9,50.07,9.3,15.1,20.9,4.38,18.94,11.66
FC,2011,10,45.7,3.2,9.3,15.5,3.27,14.75,9.01
FC,2011,11,25.81,-2.5,3.4,9.3,2.26,9.47,5.865
FC,2011,12,40.11,-7.8,-2,3.8,1.38,6,3.69
FC,2012,1,9.4,-5.2,0.4,6.1,2.04,7.7,4.87
FC,2012,2,42.96,-9.3,-3.6,2.1,0.77,4.62,2.695
FC,2012,3,0,-1.1,5.2,11.4,2.95,11.95,7.45
FC,2012,4,14.35,1.5,7.8,14.2,2.23,13.2,7.715
FC,2012,5,35.35,3.4,10.5,17.6,2.45,16.46,9.455
FC,2012,6,14.3,10.2,18.3,26.5,5.84,29.92,17.88
FC,2012,7,105.97,13.9,20.6,27.3,4.56,27.11,15.835
FC,2012,8,15.35,12.3,19.2,26.2,5.45,26.89,16.17
FC,2012,9,37,8.1,15,21.9,3.83,21.29,12.56
FC,2012,10,27.44,0.7,6.7,12.7,2.29,11.57,6.93
FC,2012,11,3.38,-0.9,5,10.9,2.57,10.38,6.475
FC,2012,12,20.81,-7.3,-1.6,4.1,1.47,6.46,3.965
FC,2013,1,3.72,-7.4,-1.6,4.1,2.05,7.12,4.585
FC,2013,2,26.21,-8.9,-3.3,2.2,1.07,5.15,3.11
FC,2013,3,34.58,-6,0.1,6.2,1.19,6.92,4.055
FC,2013,4,90.22,-4.9,1.4,7.8,0.97,8.11,4.54
FC,2013,5,82.7,3.4,9.5,15.7,2.38,13.67,8.025
FC,2013,6,8.34,9.1,17.1,25,3.94,26.38,15.16
FC,2013,7,96.77,11.8,18.6,25.3,2.58,22.25,12.415
FC,2013,8,24.04,12.2,19.2,26.2,3.95,25.57,14.76
FC,2013,9,296.15,9.9,15,20.2,2.59,14.85,8.72
FC,2013,10,36.7,0.3,5.8,11.4,1.54,9.4,5.47
FC,2013,11,5.82,-3.4,2.8,9.1,1.55,9.02,5.285
FC,2013,12,15.7,-9.5,-3.3,2.9,1.24,6.3,3.77
FC,2014,1,44.83,-7.5,-1.7,4.1,1.5,6.35,3.925
FC,2014,2,13.34,-8.8,-3,2.8,0.85,5.33,3.09
FC,2014,3,37.82,-3.7,2.1,8,1.54,8.34,4.94
FC,2014,4,33.17,-1.9,4.5,10.8,1.47,10.04,5.755
FC,2014,5,105.44,3.7,9.2,14.8,1.94,11.93,6.935
FC,2014,6,43.48,7.9,14.6,21.3,2.98,18.65,10.815
FC,2014,7,136.43,12.1,18.8,25.4,3.26,22.71,12.985
FC,2014,8,46.1,10.5,17,23.5,2.67,19.75,11.21
FC,2014,9,51.97,7.2,14.2,21.3,2.01,17.79,9.9
FC,2014,10,28.28,2.6,9.3,16,2.13,13.86,7.995
FC,2014,11,33.61,-5,1.1,7.2,1.94,8.62,5.28
FC,2014,12,22.89,-6.9,-1.1,4.6,1.36,6.43,3.895
FC,2015,1,5.69,-6.1,0.1,6.4,1.36,7.28,4.32
FC,2015,2,50.02,-7,-1,5,1.33,6.76,4.045
FC,2015,3,16.21,-2.7,3.4,9.6,1.67,9.5,5.585
FC,2015,4,114.7,-0.9,5,10.8,1.44,9.29,5.365
FC,2015,5,176.74,2,6.8,11.6,0.35,7,3.675
FC,2015,6,33.82,10.5,16.8,23.1,2.81,19.49,11.15
FC,2015,7,78.99,11.4,17.8,24.1,2.64,20.78,11.71
FC,2015,8,40.53,11.7,19.1,26.5,4.53,26.9,15.715
FC,2015,9,6.68,10.1,17.1,24,5.11,24.15,14.63
FC,2015,10,50.92,4.7,10.4,16.2,2.45,13.19,7.82
FC,2015,11,49.33,-4.3,1.5,7.3,1.73,8.07,4.9
FC,2015,12,31.32,-7.2,-1.9,3.3,1.46,5.94,3.7
FC,2016,1,17.05,-6.3,-1.1,4.2,1.57,6.47,4.02
FC,2016,2,46.37,-4.7,0.9,6.5,1.79,7.67,4.73
FC,2016,3,78.4,-3.7,2.4,8.4,1.52,8.54,5.03
FC,2016,4,107.66,-0.5,5,10.5,1.31,8.7,5.005
FC,2016,5,77.57,2.3,8,13.8,1.35,10.22,5.785
FC,2016,6,19.36,11.4,18.1,24.9,4.27,23.68,13.975
FC,2016,7,30.54,12.9,20,27.1,5.01,28.75,16.88
FC,2016,8,41.74,10.7,17.5,24.3,3.67,23.21,13.44
FC,2016,9,6.66,6.7,14.5,22.3,2.92,20.61,11.765
FC,2016,10,9.04,3.8,10.5,17.3,3.19,15.69,9.44
FC,2016,11,9.74,-0.1,5.6,11.4,2.45,10.68,6.565
FC,2016,12,17.11,-10.3,-4,2.3,0.87,5.12,2.995
FC,2017,1,31.88,-7.7,-2.7,2.3,1.25,5.23,3.24
FC,2017,2,19.36,-4.3,1.6,7.6,1.6,7.87,4.735
FC,2017,3,27.83,-1,5.1,11.3,1.79,10.23,6.01
FC,2017,4,84.17,-2,4.2,10.4,1.03,9.23,5.13
FC,2017,5,144.23,2.6,8.5,14.4,1.21,11.08,6.145
FC,2017,6,7.2,9.5,16.3,23.1,3.55,20.83,12.19
