site,year,month,ppt,tmin,tmean,tmax,vpdmin,vpdmax,vpdmean
BD,2005,4,74.38,-1.4,4.6,10.6,1.48,9.53,5.505
BD,2005,5,59.85,2.6,8.8,15,1.94,12.52,7.23
BD,2005,6,89.28,8.1,14.3,20.6,3,17.66,10.33
BD,2005,7,34.45,13.8,21,28.3,7.75,32.16,19.955
BD,2005,8,49.18,11.2,17.9,24.6,4.08,23.02,13.55
BD,2005,9,11.34,7.8,15.1,22.4,4.39,22.36,13.375
BD,2005,10,65.41,2.3,8.6,14.9,2.32,13.4,7.86
BD,2005,11,7.28,-0.4,4.6,9.6,3.45,10.52,6.985
BD,2005,12,6.87,-8.5,-2.2,4,1.77,6.74,4.255
BD,2006,1,5.68,-5.2,0.6,6.5,2.32,8.22,5.27
BD,2006,2,19.82,-8.7,-2.8,3.1,1.7,6.65,4.175
BD,2006,3,44.17,-5.9,0.1,6.2,1.59,7.38,4.485
