site,year,cones,tree
BH,2019,1.2,122
BH,2018,0,122
BH,2017,0,122
BH,2016,0,122
BH,2015,0,122
BH,2014,0.6,122
BH,2013,0.4,122
BH,2012,0.4,122
BH,2011,0,122
BH,2010,0.6,122
BH,2009,0.2,122
BH,2008,1,122
BH,2007,0,122
BH,2006,1.4,122
BH,2005,0,122
BH,2004,0.6,122
BH,2003,0.8,122
BH,2002,0,122
BH,2001,0.2,122
BH,2000,0.2,122
FC,2006,1,169
FC,2007,0,169
FC,2008,0,169
FC,2009,0,169
FC,2010,0.2,169
FC,2011,0.2,169
FC,2012,0,169
FC,2013,1.4,169
FC,2014,0.4,169
FC,2015,0.4,169
FC,2016,2,169
FC,2017,0,169
FC,2018,0.2,169
FC,2019,2.2,169
FC,2020,0.6,169
FC,2011,0.6,178
FC,2012,0,178
FC,2013,0.4,178
FC,2014,0.8,178
FC,2015,0.8,178
FC,2016,0.8,178
FC,2017,0,178
FC,2018,0,178
FC,2019,0.8,178
FC,2020,0,178
FC,2009,0,170
FC,2010,0,170
FC,2011,0,170
FC,2012,0,170
FC,2013,0,170
FC,2014,0,170
FC,2015,0.6,170
FC,2016,1.6,170
FC,2017,0,170
FC,2018,0.2,170
FC,2019,1.6,170
FC,2020,0,170
FC,2009,0.5,171
FC,2010,0.8,171
FC,2011,0.6,171
FC,2012,0.2,171
FC,2013,0.8,171
FC,2014,0.6,171
FC,2015,0.6,171
FC,2016,1,171
FC,2017,0.6,171
FC,2018,0,171
FC,2019,2.2,171
FC,2020,0.8,171
FC,2004,0.25,172
FC,2005,0,172
FC,2006,1.5,172
FC,2007,0,172
FC,2008,0.4,172
FC,2009,1,172
FC,2010,1,172
FC,2011,0,172
FC,2012,0,172
FC,2013,1.4,172
FC,2014,0,172
FC,2015,0.2,172
FC,2016,3.2,172
FC,2017,0,172
FC,2018,0,172
FC,2019,3,172
FC,2020,0,172
FC,2007,0,173
FC,2008,0,173
FC,2009,0,173
FC,2010,0,173
FC,2011,0.333333333,173
FC,2012,0,173
FC,2013,0.166666667,173
FC,2014,0,173
FC,2015,1.333333333,173
FC,2016,1.333333333,173
FC,2017,0,173
FC,2018,0.333333333,173
FC,2019,1.666666667,173
FC,2020,0,173
FC,2010,1,174
FC,2011,0.4,174
FC,2012,0.2,174
FC,2013,0.4,174
FC,2014,0,174
FC,2015,0.6,174
FC,2016,2.6,174
FC,2017,0,174
FC,2018,0.2,174
FC,2019,2,174
FC,2020,0,174
FC,2007,0,175
FC,2008,0,175
FC,2009,0,175
FC,2010,0.4,175
FC,2011,0.6,175
FC,2012,0,175
FC,2013,1.4,175
FC,2014,0,175
FC,2015,0.6,175
FC,2016,1.2,175
FC,2017,0,175
FC,2018,0.2,175
FC,2019,1.4,175
FC,2020,0,175
FC,2006,0.2,176
FC,2007,0.2,176
FC,2008,0.4,176
FC,2009,0,176
FC,2010,0.2,176
FC,2011,0.4,176
FC,2012,0,176
FC,2013,0,176
FC,2014,0.2,176
FC,2015,0.2,176
FC,2016,0.6,176
FC,2017,0,176
FC,2018,0,176
FC,2019,1.2,176
FC,2020,0,176
FC,2007,0.6,177
FC,2008,0,177
FC,2009,0,177
FC,2010,0,177
FC,2011,0.4,177
FC,2012,0,177
FC,2013,0.4,177
FC,2014,0,177
FC,2015,0,177
FC,2016,2,177
FC,2017,0,177
FC,2018,0,177
FC,2019,2.2,177
FC,2020,0,177
HM1,2003,0.333333333,51
HM1,2004,0.166666667,51
HM1,2005,1.333333333,51
HM1,2006,0.833333333,51
HM1,2007,0,51
HM1,2008,0.666666667,51
HM1,2009,0.833333333,51
HM1,2010,0.4,51
HM1,2011,1.166666667,51
HM1,2012,0.333333333,51
HM1,2013,0.5,51
HM1,2014,0.333333333,51
HM1,2015,1,51
HM1,2016,0.5,51
HM1,2017,0.333333333,51
HM1,2018,0.166666667,51
HM1,2004,0.2,138
HM1,2005,0,138
HM1,2006,1.2,138
HM1,2007,0,138
HM1,2008,0.666666667,138
HM1,2009,0.833333333,138
HM1,2010,0,138
HM1,2011,0.5,138
HM1,2012,0.333333333,138
HM1,2013,0,138
HM1,2014,0,138
HM1,2015,0.5,138
HM1,2016,0.166666667,138
HM1,2017,0.833333333,138
HM1,2018,0,138
HM1,2019,1.5,138
HM1,2020,0.4,138
HM1,2003,0.666666667,52
HM1,2004,0,52
HM1,2005,1.333333333,52
HM1,2006,0,52
HM1,2007,0,52
HM1,2008,0.666666667,52
HM1,2009,1.142857143,52
HM1,2010,0,52
HM1,2011,1.428571429,52
HM1,2012,0.142857143,52
HM1,2013,0.142857143,52
HM1,2014,0.714285714,52
HM1,2015,0.714285714,52
HM1,2016,0.428571429,52
HM1,2017,0.285714286,52
HM1,2018,0.142857143,52
HM1,2003,0,99
HM1,2004,0,99
HM1,2005,0.4,99
HM1,2006,1,99
HM1,2007,0,99
HM1,2008,0.166666667,99
HM1,2009,0.142857143,99
HM1,2010,0.285714286,99
HM1,2011,0.857142857,99
HM1,2012,0.142857143,99
HM1,2013,0.142857143,99
HM1,2014,0.428571429,99
HM1,2015,1,99
HM1,2016,0.142857143,99
HM1,2017,0.571428571,99
HM1,2018,0,99
HM1,2003,0.4,53
HM1,2004,0.2,53
HM1,2005,0.4,53
HM1,2006,0.8,53
HM1,2007,0,53
HM1,2008,0,53
HM1,2009,0,53
HM1,2010,0,53
HM1,2011,0.2,53
HM1,2012,1,53
HM1,2013,0,53
HM1,2014,0.4,53
HM1,2015,0,53
HM1,2016,0,53
HM1,2017,0.4,53
HM1,2018,0.2,53
HM1,2003,0,55
HM1,2004,0,55
HM1,2005,0.875,55
HM1,2006,0.857142857,55
HM1,2007,0,55
HM1,2008,0.333333333,55
HM1,2009,0,55
HM1,2010,0.25,55
HM1,2011,2,55
HM1,2012,0,55
HM1,2013,0,55
HM1,2014,0,55
HM1,2015,1.375,55
HM1,2016,2.25,55
HM1,2017,0,55
HM1,2018,0,55
HM1,2006,0.75,111
HM1,2007,1,111
HM1,2008,0.75,111
HM1,2009,0.5,111
HM1,2010,0,111
HM1,2011,0.75,111
HM1,2012,2.5,111
HM1,2013,0,111
HM1,2014,0.25,111
HM1,2015,1,111
HM1,2016,0,111
HM1,2017,0.25,111
HM1,2018,0,111
HM1,2019,0.75,111
HM1,2020,0,111
HM1,2003,0.6,112
HM1,2004,0.2,112
HM1,2005,1,112
HM1,2006,1.2,112
HM1,2007,0,112
HM1,2008,0.6,112
HM1,2009,0.2,112
HM1,2010,0,112
HM1,2011,1.2,112
HM1,2012,0,112
HM1,2013,0.8,112
HM1,2014,0.4,112
HM1,2015,0.8,112
HM1,2016,1.6,112
HM1,2017,0,112
HM1,2018,0,112
HM1,2019,2,112
HM1,2020,0.2,112
HM1,2006,0.4,136
HM1,2007,0,136
HM1,2008,0.8,136
HM1,2009,0.6,136
HM1,2010,0.2,136
HM1,2011,1.2,136
HM1,2012,1,136
HM1,2013,0.6,136
HM1,2014,1,136
HM1,2015,1.6,136
HM1,2016,1.4,136
HM1,2017,0.6,136
HM1,2018,1.4,136
HM1,2019,2.2,136
HM1,2020,0.4,136
HM1,2003,0.166666667,137
HM1,2004,0,137
HM1,2005,1.666666667,137
HM1,2006,0.714285714,137
HM1,2007,0.142857143,137
HM1,2008,1.142857143,137
HM1,2009,0.142857143,137
HM1,2010,0.428571429,137
HM1,2011,1.285714286,137
HM1,2012,0.571428571,137
HM1,2013,0.285714286,137
HM1,2014,1.428571429,137
HM1,2015,1.714285714,137
HM1,2016,0.857142857,137
HM1,2017,0.142857143,137
HM1,2018,0.428571429,137
HM1,2019,2.571428571,137
HM1,2020,0.142857143,137
HM1,2020,0,51
HM1,2019,2.4,51
HM1,2020,0,52
HM1,2019,3.2,52
HM1,2020,0,53
HM1,2019,2.8,53
HM1,2020,0,55
HM1,2019,3.1,55
HM1,2020,0,99
HM1,2019,2.3,99
HM6,2000,0,139
HM6,2001,0,139
HM6,2002,0,139
HM6,2003,0.25,139
HM6,2004,0,139
HM6,2005,0,139
HM6,2006,0.8,139
HM6,2007,0,139
HM6,2008,1,139
HM6,2009,0,139
HM6,2010,0.166666667,139
HM6,2011,0.666666667,139
HM6,2012,0.333333333,139
HM6,2013,0,139
HM6,2014,3,139
HM6,2015,0.5,139
HM6,2016,0,139
HM6,2017,0,139
HM6,2018,0.166666667,139
HM6,2019,3.333333333,139
HM6,2020,0.166666667,139
HM6,2000,0,158
HM6,2001,0,158
HM6,2002,0,158
HM6,2003,0,158
HM6,2004,0,158
HM6,2005,0.4,158
HM6,2006,2.6,158
HM6,2007,0,158
HM6,2008,0,158
HM6,2009,0,158
HM6,2010,0,158
HM6,2011,1.2,158
HM6,2012,0.4,158
HM6,2013,0,158
HM6,2014,1.6,158
HM6,2015,0.4,158
HM6,2016,0.4,158
HM6,2017,0,158
HM6,2018,0.8,158
HM6,2019,3.4,158
HM6,2020,0,158
HM6,2007,0,140
HM6,2008,0.2,140
HM6,2009,0.4,140
HM6,2010,0,140
HM6,2011,2.666666667,140
HM6,2012,0.166666667,140
HM6,2013,0,140
HM6,2014,2.833333333,140
HM6,2015,0.5,140
HM6,2016,0,140
HM6,2017,0,140
HM6,2018,0,140
HM6,2019,2.5,140
HM6,2020,0,140
HM6,1998,0,141
HM6,1999,1,141
HM6,2000,0.2,141
HM6,2001,0,141
HM6,2002,0,141
HM6,2003,0.8,141
HM6,2004,0.4,141
HM6,2005,1,141
HM6,2006,0.6,141
HM6,2007,0,141
HM6,2008,0,141
HM6,2009,0,141
HM6,2010,0,141
HM6,2011,0.8,141
HM6,2012,0.4,141
HM6,2013,0,141
HM6,2014,0.6,141
HM6,2015,1.2,141
HM6,2016,0.4,141
HM6,2017,0,141
HM6,2018,0,141
HM6,2019,1.6,141
HM6,2020,0,141
HM6,2002,0,152
HM6,2003,0,152
HM6,2004,0,152
HM6,2005,0.8,152
HM6,2006,1.2,152
HM6,2007,0,152
HM6,2008,0.6,152
HM6,2009,0.2,152
HM6,2010,0,152
HM6,2011,2,152
HM6,2012,0.4,152
HM6,2013,0,152
HM6,2014,2.2,152
HM6,2015,0.2,152
HM6,2016,0,152
HM6,2017,0,152
HM6,2018,0,152
HM6,2019,3.8,152
HM6,2020,0,152
HM6,2004,0,153
HM6,2005,0.4,153
HM6,2006,0,153
HM6,2007,0,153
HM6,2008,1.2,153
HM6,2009,1.2,153
HM6,2010,0,153
HM6,2011,0.6,153
HM6,2012,1.6,153
HM6,2013,0,153
HM6,2014,1.6,153
HM6,2015,1.4,153
HM6,2016,0,153
HM6,2017,0,153
HM6,2018,0,153
HM6,2019,2.6,153
HM6,2020,0,153
HM6,2000,0,154
HM6,2001,0,154
HM6,2002,0,154
HM6,2003,0,154
HM6,2004,0,154
HM6,2005,0,154
HM6,2006,0,154
HM6,2007,0,154
HM6,2008,1,154
HM6,2009,0,154
HM6,2010,0,154
HM6,2011,1,154
HM6,2012,0,154
HM6,2013,0,154
HM6,2014,1.2,154
HM6,2015,0,154
HM6,2016,0,154
HM6,2017,0,154
HM6,2018,0,154
HM6,2019,2.4,154
HM6,2020,0,154
HM6,2000,0,155
HM6,2001,0,155
HM6,2002,0,155
HM6,2003,0,155
HM6,2004,0,155
HM6,2005,1.5,155
HM6,2006,1.166666667,155
HM6,2007,0,155
HM6,2008,0.166666667,155
HM6,2009,1,155
HM6,2010,0,155
HM6,2011,1.333333333,155
HM6,2012,0,155
HM6,2013,0,155
HM6,2014,2.833333333,155
HM6,2015,0,155
HM6,2016,0,155
HM6,2017,0,155
HM6,2018,0,155
HM6,2019,3.666666667,155
HM6,2020,0,155
HM6,2003,0,156
HM6,2004,0,156
HM6,2005,0,156
HM6,2006,0,156
HM6,2007,0,156
HM6,2008,0,156
HM6,2009,0.2,156
HM6,2010,0,156
HM6,2011,0,156
HM6,2012,0.4,156
HM6,2013,0,156
HM6,2014,3.2,156
HM6,2015,0,156
HM6,2016,0,156
HM6,2017,0.4,156
HM6,2018,0,156
HM6,2019,4,156
HM6,2020,0,156
HM6,2003,0,157
HM6,2004,0,157
HM6,2005,0,157
HM6,2006,1,157
HM6,2007,0,157
HM6,2008,0.8,157
HM6,2009,0,157
HM6,2010,0,157
HM6,2011,0.6,157
HM6,2012,0.6,157
HM6,2013,0,157
HM6,2014,1.4,157
HM6,2015,1,157
HM6,2016,0.2,157
HM6,2017,0,157
HM6,2018,0,157
HM6,2019,2.6,157
HM6,2020,0,157
LH,2002,0,L116
LH,2003,0.666666667,L116
LH,2004,0.333333333,L116
LH,2005,0.8,L116
LH,2006,3,L116
LH,2007,0.4,L116
LH,2008,0,L116
LH,2009,2,L116
LH,2010,0.2,L116
LH,2011,1.4,L116
LH,2012,0,L116
LH,2013,0,L116
LH,2014,0.6,L116
LH,2015,1.6,L116
LH,2016,2,L116
LH,2017,0,L116
LH,2018,0,L116
LH,2019,2.2,L116
LH,2001,0,123
LH,2002,0,123
LH,2003,1,123
LH,2004,0,123
LH,2005,0,123
LH,2006,1.5,123
LH,2007,1.25,123
LH,2008,0,123
LH,2009,0.75,123
LH,2010,0.5,123
LH,2011,0,123
LH,2012,0,123
LH,2013,0,123
LH,2014,0.166666667,123
LH,2015,1.666666667,123
LH,2016,2,123
LH,2017,0,123
LH,2018,0,123
LH,2019,1.666666667,123
LH,2003,0,188
LH,2004,0,188
LH,2005,2,188
LH,2006,2.333333333,188
LH,2007,0,188
LH,2008,0,188
LH,2009,0.833333333,188
LH,2010,0.166666667,188
LH,2011,1.833333333,188
LH,2012,0,188
LH,2013,0.166666667,188
LH,2014,1,188
LH,2015,0,188
LH,2016,1,188
LH,2017,0,188
LH,2018,0,188
LH,2019,1.666666667,188
LH,2003,0,204
LH,2004,0,204
LH,2005,0.75,204
LH,2006,1.8,204
LH,2007,0.6,204
LH,2008,1,204
LH,2009,1.6,204
LH,2010,0.4,204
LH,2011,1.8,204
LH,2012,0.5,204
LH,2013,0,204
LH,2014,0.666666667,204
LH,2015,3.333333333,204
LH,2016,2.5,204
LH,2017,0.5,204
LH,2018,0,204
LH,2019,2.5,204
LH,2002,0,221
LH,2003,0,221
LH,2004,1.166666667,221
LH,2005,1.25,221
LH,2006,0.222222222,221
LH,2007,1.111111111,221
LH,2008,0.555555556,221
LH,2009,1.2,221
LH,2010,0.272727273,221
LH,2011,0.272727273,221
LH,2012,0.9,221
LH,2013,0.2,221
LH,2014,0.363636364,221
LH,2015,1.8,221
LH,2016,1.181818182,221
LH,2017,0.272727273,221
LH,2018,0.272727273,221
LH,2019,2.363636364,221
LH,2001,0,45
LH,2002,0.285714286,45
LH,2003,0.846153846,45
LH,2004,0,45
LH,2005,1.571428571,45
LH,2006,2.071428571,45
LH,2007,1.142857143,45
LH,2008,0.285714286,45
LH,2009,1.214285714,45
LH,2010,0.928571429,45
LH,2011,0.857142857,45
LH,2012,1.214285714,45
LH,2013,0.5,45
LH,2014,0.5,45
LH,2015,1.357142857,45
LH,2016,1.928571429,45
LH,2017,1.142857143,45
LH,2018,1.357142857,45
LH,2019,1.642857143,45
LH,2003,0,71
LH,2004,0,71
LH,2005,0,71
LH,2006,1.666666667,71
LH,2007,0,71
LH,2008,0,71
LH,2009,1.5,71
LH,2010,1.8,71
LH,2011,1.8,71
LH,2012,0,71
LH,2013,0,71
LH,2014,0,71
LH,2015,2.2,71
LH,2016,2.2,71
LH,2017,0,71
LH,2018,0,71
LH,2019,3.4,71
LH,2020,0,188
LH,2020,0,71
LH,2020,0,116
LH,2020,0,204
LH,2020,0,221
LH,2020,0,45
LH,2020,0,123
LH,2020,0,201
LH,2019,0.8,201
LH,2018,0,201
LH,2017,0,201
LH,2016,2.8,201
LH,2015,0.6,201
LH,2014,0,201
LH,2013,0,201
LH,2012,0,201
LH,2011,0.2,201
LH,2010,0,201
LH,2009,0,201
LH,2008,0,201
LH,2007,0,201
LH,2006,0.6,201
LH,2005,0,201
LH,2004,0,201
LH,2003,0.6,201
LH,2018,0,L73
LH,2017,0,L73
LH,2016,1.8,L73
LH,2015,2.2,L73
LH,2014,0,L73
LH,2013,0.2,L73
LH,2012,0,L73
LH,2011,0,L73
LH,2010,1,L73
LH,2009,0,L73
LH,2008,0,L73
LH,2007,0,L73
LH,2006,1.4,L73
LH,2005,1.2,L73
LH,2004,0,L73
LH,2003,0,L73
LH,2019,0.6,L73
LH,2020,0,L73
LH,2020,1,300
LH,2019,3,300
LH,2018,2.2,300
LH,2017,0.6,300
LH,2016,1.8,300
LH,2015,2.8,300
LH,2014,1.8,300
LH,2013,1,300
LH,2012,1,300
LH,2011,1.8,300
LH,2010,1,300
LH,2009,2.6,300
LH,2008,1,300
LH,2007,0.4,300
LH,2006,0.4,300
LH,2005,0.4,300
LH,2004,0,300
LH,2003,0,300
LH,2002,0.6,300
LH,2001,1,300
LH,2000,0,300
WT1,2008,0,147
WT1,2009,0,147
WT1,2010,0,147
WT1,2011,0,147
WT1,2012,0,147
WT1,2013,0,147
WT1,2014,1.8,147
WT1,2015,2,147
WT1,2016,0,147
WT1,2017,0.8,147
WT1,2018,0,147
WT1,2019,2.8,147
WT1,2020,0,147
WT1,2003,0.25,146
WT1,2004,0,146
WT1,2005,0,146
WT1,2006,0,146
WT1,2007,0,146
WT1,2008,0,146
WT1,2009,0.333333333,146
WT1,2010,0,146
WT1,2011,1,146
WT1,2012,0,146
WT1,2013,0,146
WT1,2014,0.5,146
WT1,2015,0.5,146
WT1,2016,0.166666667,146
WT1,2017,0,146
WT1,2018,0.5,146
WT1,2019,1.5,146
WT1,2020,0,146
WT1,2002,0,148
WT1,2003,0.25,148
WT1,2004,0,148
WT1,2005,0.6,148
WT1,2006,0.4,148
WT1,2007,0,148
WT1,2008,0,148
WT1,2009,1,148
WT1,2010,0,148
WT1,2011,0,148
WT1,2012,0,148
WT1,2013,0,148
WT1,2014,0,148
WT1,2015,0,148
WT1,2016,0,148
WT1,2017,0,148
WT1,2018,0,148
WT1,2019,3.6,148
WT1,2020,0,148
WT1,2001,0,143
WT1,2002,0,143
WT1,2003,1.2,143
WT1,2004,0,143
WT1,2005,0.6,143
WT1,2006,0.8,143
WT1,2007,0,143
WT1,2008,0.6,143
WT1,2009,0,143
WT1,2010,0,143
WT1,2011,0.2,143
WT1,2012,0.6,143
WT1,2013,0,143
WT1,2014,1.8,143
WT1,2015,1.8,143
WT1,2016,0,143
WT1,2017,1.8,143
WT1,2018,0,143
WT1,2019,2.6,143
WT1,2020,0,143
WT1,2003,0,144
WT1,2004,0,144
WT1,2005,0,144
WT1,2006,0.333333333,144
WT1,2007,0.666666667,144
WT1,2008,0,144
WT1,2009,0,144
WT1,2010,0,144
WT1,2011,0.333333333,144
WT1,2012,0.5,144
WT1,2013,0,144
WT1,2014,0,144
WT1,2015,0.833333333,144
WT1,2016,0,144
WT1,2017,0,144
WT1,2018,0,144
WT1,2019,2.666666667,144
WT1,2020,0,144
WT1,2005,0,73
WT1,2006,0.25,73
WT1,2007,0,73
WT1,2008,0,73
WT1,2009,0,73
WT1,2010,0,73
WT1,2011,0,73
WT1,2012,0.75,73
WT1,2013,0,73
WT1,2014,0.8,73
WT1,2015,0.6,73
WT1,2016,0,73
WT1,2017,0.4,73
WT1,2018,0,73
WT1,2003,3,75
WT1,2004,0.166666667,75
WT1,2005,0,75
WT1,2006,2.714285714,75
WT1,2007,0.428571429,75
WT1,2008,0.333333333,75
WT1,2009,1,75
WT1,2010,0.142857143,75
WT1,2011,0.142857143,75
WT1,2012,1.285714286,75
WT1,2013,0,75
WT1,2014,2.714285714,75
WT1,2015,1.428571429,75
