tree,site,growth12,conematur,resinarea2,BA5,dbh,wuecentered,cwd
153,HM6,1.475470588,182.0705882,0.128637134,25,43,0.167610051,2.052949762
154,HM6,0.941857143,25.6,0.100564636,55,28.1,-0.166153303,2.052949762
155,HM6,1.084923077,134.3076923,0.963552097,35,34,0.27195603,2.052949762
156,HM6,0.2655,69.24444444,0.041341315,40,43.6,0.188477535,2.052949762
157,HM6,0.588444444,61.95555556,0.108854104,40,35.5,-0.19743239,2.052949762
158,HM6,0.847,25.6,0.134391439,55,24.6,-0.437174818,2.052949762
159,BD,0.308368421,52.73684211,0.044254206,20,59,0.183544431,48.93559946
160,BD,0.622809524,61.42857142,0.882890836,35,37.5,-0.505011985,48.93559946
161,BD,0.700157895,94.51578947,0.117681276,20,40.3,0.40282614,48.93559946
162,BD,1.1920625,73.7,0.16957969,50,35.4,-0.671794453,48.93559946
163,BD,0.321722222,36.17777778,0.097160309,30,30.2,-0.160850287,48.93559946
164,BD,0.322611111,19.42222222,0.472488266,35,31.6,-0.160850287,48.93559946
165,BD,0.312552632,14.44736842,0.082976406,60,24.8,1.176286905,48.93559946
166,BD,0.592642857,32.53333333,0.286828024,60,28.3,-0.765585554,48.93559946
167,BD,0.61227451,107.2235294,0.098552486,40,39.4,0.371494396,48.93559946
168,BD,0.520301587,46.86666667,0.094425621,20,41.4,0.162665387,48.93559946
169,FC,2.347,64.78666667,0.38370585,15,38.8,0.567098087,136.3841704
170,FC,2.817,35.33333333,0.562704833,15,31.9,-0.476747343,136.3841704
171,FC,2.1785,83.375,0.511540142,25,51.4,-0.247285041,136.3841704
172,FC,1.568882353,43.58235294,0.245706132,55,34,0.222392305,136.3841704
173,FC,2.739357143,31.73809523,0.246164658,15,33,-0.205553498,136.3841704
174,FC,1.937727273,64.58181818,0.320789975,40,34.2,0.044907678,136.3841704
175,FC,3.737,62.55714286,0.528608004,5,56.3,0.295492207,136.3841704
176,FC,2.7568,35.04,0.519415239,25,45.4,0.097102613,136.3841704
177,FC,2.506785714,20,0.353285912,30,28,-0.570588452,136.3841704
178,FC,2.3585,58.8,0.348857283,20,47.7,0.117982086,136.3841704
188,LH,1.722111111,79.44444444,0.279309576,25,36.2,-0.394747207,252.4277646
201,LH,1.208722222,55.37777778,0.213525032,35,45.5,-0.37387116,252.4277646
204,LH,1.1040625,200.609375,0.134774013,30,43.5,0.148308533,252.4277646
221,LH,1.266052632,32.45555556,0.147258248,20,32.5,-1.083176538,252.4277646
300,LH,0.931142857,334.6285714,0.141928218,0,51.4,-0.467806625,252.4277646
45,LH,0.81425,185.6346154,0.129417891,15,47,1.183807007,252.4277646
51,HM1,2.759833333,144.3888889,0.234964113,55,59.3,-0.348902757,93.44717201
52,HM1,3.911444444,83.18306879,0.457952128,30,32.1,0.109880725,93.44717201
53,HM1,1.034777778,41.55555556,0.219895337,60,29.5,1.42596306,93.44717201
55,HM1,1.588277778,33.12142857,0.160405682,60,27.5,-0.74479196,93.44717201
71,LH,0.817,72.02407408,0.154567195,35,38.6,-0.770369627,252.4277646
73,WT1,1.8355,14.025,0.160109896,25,44,0.005114328,7.677870306
75,WT1,0.801833333,42.03571429,0.145933352,50,47.6,0.318100908,7.677870306
76,WT1,1.169222222,46.67804234,0.153068329,70,60,0.840173461,7.677870306
77,WT2,0.889235294,36.17647059,0.185422027,30,35.2,0.298213898,102.0186908
78,WT2,0.792066667,23.43333333,0.177223019,15,36.5,0.058500957,102.0186908
79,WT2,1.152058824,69.80000001,0.172403035,20,43.4,0.152288213,102.0186908
80,WT2,1.378666667,17.42222222,0.23118415,15,31,-0.358122046,102.0186908
81,WT2,1.110666667,9.079365081,0.170016661,35,26.9,0.600621814,102.0186908
82,WT2,1.171055556,39.86111111,0.171275401,15,56,0.256516571,102.0186908
83,WT2,1.658555556,17.54814814,0.221864563,45,36.5,-0.753597752,102.0186908
99,HM1,0.728888889,16.42539683,0.082637574,90,20.8,0.203773808,93.44717201
L116,LH,1.280055556,113.1555556,0.145008045,10,37.6,-0.300798251,252.4277646
L73,LH,0.478166667,60.2,0.079595357,30,43.2,1.27804769,252.4277646
