site,tree,Year,Area
BD,161,2010,0.03
BD,161,2011,0.013
BD,161,2011,0.017
BD,161,2011,0.023
BD,161,2012,0.009
BD,161,2012,0.011
BD,161,2012,0.014
BD,161,2012,0.019
BD,161,2012,0.022
BD,161,2012,0.022
BD,161,2012,0.022
BD,161,2012,0.022
BD,161,2013,0.005
BD,161,2013,0.006
BD,161,2013,0.006
BD,161,2013,0.006
BD,161,2013,0.006
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.008
BD,161,2013,0.009
BD,161,2013,0.009
BD,161,2013,0.009
BD,161,2013,0.009
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.012
BD,161,2013,0.015
BD,161,2013,0.017
BD,161,2013,0.018
BD,161,2013,0.019
BD,161,2013,0.019
BD,161,2013,0.019
BD,161,2013,0.019
BD,161,2013,0.024
BD,161,2014,0.016
BD,161,2014,0.018
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.02
BD,161,2014,0.021
BD,161,2014,0.023
BD,161,2014,0.024
BD,161,2014,0.029
BD,161,2014,0.034
BD,161,2015,0.007
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.008
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.009
BD,161,2015,0.012
BD,161,2015,0.012
BD,161,2015,0.012
BD,161,2015,0.012
BD,161,2015,0.017
BD,161,2015,0.017
BD,161,2015,0.017
BD,161,2015,0.017
BD,161,2015,0.018
BD,161,2015,0.018
BD,161,2015,0.018
BD,161,2015,0.018
BD,161,2016,0.013
BD,161,2016,0.014
BD,161,2016,0.02
BD,161,2016,0.021
BD,161,2016,0.023
BD,161,2017,0.012
BD,161,2017,0.018
BD,161,2017,0.019
BD,161,2018,0.008
BD,161,2018,0.009
BD,161,2018,0.009
BD,161,2018,0.009
BD,161,2018,0.009
BD,161,2018,0.011
BD,161,2018,0.015
BD,161,2018,0.015
BD,161,2018,0.015
BD,161,2018,0.015
BD,161,2018,0.017
BD,161,2018,0.019
BD,161,2018,0.019
BD,161,2018,0.019
BD,161,2018,0.019
BD,161,2018,0.022
BD,161,2019,0.003
BD,161,2019,0.007
BD,161,2019,0.008
BD,161,2019,0.01
BD,161,2019,0.011
BD,161,2019,0.011
BD,161,2019,0.011
BD,161,2019,0.011
BD,161,2019,0.012
BD,161,2019,0.015
BD,161,2019,0.015
BD,161,2019,0.015
BD,161,2019,0.015
BD,161,2019,0.018
BD,161,2019,0.019
BD,161,2019,0.021
BD,161,2019,0.021
BD,161,2019,0.021
BD,161,2019,0.021
BD,161,2019,0.033
BD,161,2020,0.004
BD,161,2020,0.011
BD,161,2020,0.014
BD,161,2020,0.014
BD,161,2020,0.014
BD,161,2020,0.014
BD,161,2020,0.018
BD,161,2020,0.018
BD,161,2020,0.018
BD,161,2020,0.018
BD,161,2020,0.019
BD,161,2020,0.038
BD,162,2000,0.018
BD,162,2000,0.019
BD,162,2000,0.019
BD,162,2000,0.019
BD,162,2000,0.019
BD,162,2000,0.02
BD,162,2000,0.02
BD,162,2000,0.02
BD,162,2000,0.02
BD,162,2000,0.021
BD,162,2000,0.036
BD,162,2001,0.019
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.026
BD,162,2001,0.03
BD,162,2002,0.012
BD,162,2002,0.015
BD,162,2002,0.023
BD,162,2003,0.008
BD,162,2003,0.03
BD,162,2003,0.031
BD,162,2003,0.032
BD,162,2003,0.034
BD,162,2004,0.009
BD,162,2004,0.019
BD,162,2004,0.024
BD,162,2004,0.027
BD,162,2004,0.039
BD,162,2005,0.03
BD,162,2006,0.012
BD,162,2006,0.013
BD,162,2006,0.017
BD,162,2006,0.019
BD,162,2006,0.02
BD,162,2006,0.023
BD,162,2006,0.023
BD,162,2006,0.023
BD,162,2006,0.023
BD,162,2006,0.027
BD,162,2006,0.037
BD,162,2006,0.039
BD,162,2007,0.02
BD,162,2007,0.023
BD,162,2007,0.023
BD,162,2007,0.023
BD,162,2007,0.023
BD,162,2007,0.025
BD,162,2007,0.026
BD,162,2007,0.032
BD,162,2007,0.032
BD,162,2007,0.032
BD,162,2007,0.032
BD,162,2007,0.034
BD,162,2007,0.043
BD,162,2008,0.015
BD,162,2008,0.018
BD,162,2008,0.02
BD,162,2008,0.022
BD,162,2008,0.036
BD,162,2009,0.017
BD,162,2009,0.02
BD,162,2009,0.038
BD,162,2010,0.007
BD,162,2010,0.015
BD,162,2010,0.02
BD,162,2010,0.02
BD,162,2010,0.02
BD,162,2010,0.02
BD,162,2010,0.021
BD,162,2010,0.023
BD,162,2010,0.025
BD,162,2010,0.025
BD,162,2010,0.025
BD,162,2010,0.025
BD,162,2010,0.026
BD,162,2010,0.027
BD,162,2010,0.027
BD,162,2010,0.027
BD,162,2010,0.027
BD,162,2010,0.036
BD,162,2010,0.048
BD,162,2011,0.01
BD,162,2011,0.021
BD,162,2011,0.028
BD,162,2011,0.039
BD,162,2012,0.015
BD,162,2012,0.016
BD,162,2012,0.02
BD,162,2012,0.02
BD,162,2012,0.02
BD,162,2012,0.02
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.022
BD,162,2012,0.024
BD,162,2012,0.026
BD,162,2012,0.027
BD,162,2012,0.029
BD,162,2012,0.031
BD,162,2012,0.035
BD,162,2012,0.038
BD,162,2013,0.006
BD,162,2013,0.006
BD,162,2013,0.006
BD,162,2013,0.006
BD,162,2013,0.009
BD,162,2013,0.014
BD,162,2013,0.015
BD,162,2013,0.016
BD,162,2013,0.017
BD,162,2013,0.02
BD,162,2013,0.022
BD,162,2013,0.023
BD,162,2013,0.027
BD,162,2013,0.047
BD,162,2014,0.011
BD,162,2014,0.012
BD,162,2014,0.013
BD,162,2014,0.013
BD,162,2014,0.013
BD,162,2014,0.013
BD,162,2014,0.015
BD,162,2014,0.016
BD,162,2014,0.016
BD,162,2014,0.016
BD,162,2014,0.016
BD,162,2014,0.018
BD,162,2014,0.021
BD,162,2014,0.021
BD,162,2014,0.021
BD,162,2014,0.021
BD,162,2014,0.023
BD,162,2014,0.025
BD,162,2014,0.026
BD,162,2014,0.027
BD,162,2014,0.03
BD,162,2014,0.034
BD,162,2015,0.016
BD,162,2015,0.019
BD,162,2015,0.021
BD,162,2015,0.022
BD,162,2015,0.032
BD,162,2015,0.034
BD,162,2016,0.009
BD,162,2016,0.009
BD,162,2016,0.009
BD,162,2016,0.009
BD,162,2016,0.011
BD,162,2016,0.011
BD,162,2016,0.011
BD,162,2016,0.011
BD,162,2016,0.014
BD,162,2016,0.026
BD,162,2016,0.028
BD,162,2016,0.029
BD,162,2016,0.03
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.034
BD,162,2016,0.037
BD,162,2017,0.015
BD,162,2017,0.016
BD,162,2017,0.017
BD,162,2017,0.017
BD,162,2017,0.017
BD,162,2017,0.017
BD,162,2017,0.019
BD,162,2017,0.019
BD,162,2017,0.019
BD,162,2017,0.019
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.022
BD,162,2017,0.024
BD,162,2017,0.024
BD,162,2017,0.024
BD,162,2017,0.024
BD,162,2017,0.031
BD,162,2018,0.012
BD,162,2018,0.013
BD,162,2018,0.013
BD,162,2018,0.013
BD,162,2018,0.013
BD,162,2018,0.016
BD,162,2018,0.017
BD,162,2018,0.018
BD,162,2018,0.018
BD,162,2018,0.018
BD,162,2018,0.018
BD,162,2018,0.02
BD,162,2018,0.022
BD,162,2018,0.022
BD,162,2018,0.022
BD,162,2018,0.022
BD,162,2018,0.027
BD,162,2018,0.038
BD,162,2019,0.004
BD,162,2019,0.009
BD,162,2019,0.012
BD,162,2019,0.016
BD,162,2019,0.026
BD,162,2019,0.035
BD,162,2020,0.017
BD,162,2020,0.017
BD,162,2020,0.017
BD,162,2020,0.017
BD,162,2020,0.019
BD,162,2020,0.02
BD,162,2020,0.021
BD,162,2020,0.023
BD,162,2020,0.029
BD,162,2020,0.033
BD,163,2000,0.018
BD,163,2000,0.021
BD,163,2000,0.023
BD,163,2000,0.031
BD,163,2001,0.007
BD,163,2001,0.024
BD,163,2001,0.033
BD,163,2001,0.04
BD,163,2002,0
BD,163,2003,0.018
BD,163,2003,0.023
BD,163,2003,0.026
BD,163,2003,0.029
BD,163,2003,0.031
BD,163,2003,0.032
BD,163,2003,0.034
BD,163,2003,0.034
BD,163,2003,0.034
BD,163,2003,0.034
BD,163,2003,0.039
BD,163,2004,0.026
BD,163,2004,0.031
BD,163,2004,0.035
BD,163,2004,0.039
BD,163,2005,0.017
BD,163,2006,0.017
BD,163,2006,0.019
BD,163,2006,0.019
BD,163,2006,0.019
BD,163,2006,0.019
BD,163,2006,0.02
BD,163,2007,0.018
BD,163,2007,0.021
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.022
BD,163,2007,0.029
BD,163,2007,0.036
BD,163,2007,0.043
BD,163,2008,0.018
BD,163,2008,0.023
BD,163,2009,0.015
BD,163,2009,0.016
BD,163,2009,0.019
BD,163,2009,0.029
BD,163,2009,0.032
BD,163,2010,0.019
BD,163,2011,0.021
BD,163,2011,0.023
BD,163,2011,0.023
BD,163,2011,0.023
BD,163,2011,0.023
BD,163,2011,0.027
BD,163,2011,0.03
BD,163,2012,0.01
BD,163,2012,0.012
BD,163,2012,0.013
BD,163,2012,0.018
BD,163,2012,0.018
BD,163,2012,0.018
BD,163,2012,0.018
BD,163,2012,0.02
BD,163,2013,0
BD,163,2014,0.009
BD,163,2014,0.011
BD,163,2014,0.015
BD,163,2014,0.016
BD,163,2014,0.017
BD,163,2014,0.019
BD,163,2015,0.006
BD,163,2015,0.012
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.014
BD,163,2015,0.015
BD,163,2015,0.015
BD,163,2015,0.015
BD,163,2015,0.015
BD,163,2015,0.017
BD,163,2015,0.021
BD,163,2015,0.03
BD,163,2016,0.009
BD,163,2016,0.016
BD,163,2016,0.017
BD,163,2016,0.023
BD,163,2016,0.023
BD,163,2016,0.023
BD,163,2016,0.023
BD,163,2016,0.024
BD,163,2016,0.024
BD,163,2016,0.024
BD,163,2016,0.024
BD,163,2016,0.026
BD,163,2016,0.041
BD,163,2017,0.012
BD,163,2017,0.019
BD,163,2017,0.023
BD,163,2017,0.023
BD,163,2017,0.023
BD,163,2017,0.023
BD,163,2017,0.025
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.027
BD,163,2017,0.034
BD,163,2018,0.017
BD,163,2018,0.018
BD,163,2018,0.026
BD,163,2018,0.028
BD,163,2018,0.032
BD,163,2019,0.022
BD,163,2019,0.022
BD,163,2019,0.022
BD,163,2019,0.022
BD,163,2019,0.024
BD,163,2019,0.026
BD,163,2019,0.029
BD,163,2019,0.031
BD,163,2020,0.02
BD,163,2020,0.021
BD,163,2020,0.023
BD,163,2020,0.03
BD,163,2020,0.031
BD,163,2020,0.039
BD,163,2020,0.043
BD,164,2000,0.011
BD,164,2000,0.012
BD,164,2000,0.012
BD,164,2000,0.012
BD,164,2000,0.012
BD,164,2001,7126.485
BD,164,2002,0.01
BD,164,2002,0.021
BD,164,2003,0.015
BD,164,2003,0.018
BD,164,2004,0.007
BD,164,2005,0.01
BD,164,2005,0.01
BD,164,2005,0.01
BD,164,2005,0.01
BD,164,2005,0.014
BD,164,2005,0.016
BD,164,2005,0.024
BD,164,2005,0.026
BD,164,2005,0.03
BD,164,2006,0.006
BD,164,2006,0.012
BD,164,2006,0.014
BD,164,2006,0.015
BD,164,2007,0.018
BD,164,2008,0.013
BD,164,2008,0.016
BD,164,2008,0.017
BD,164,2008,0.02
BD,164,2009,0.013
BD,164,2010,0
BD,164,2011,0.011
BD,164,2011,0.014
BD,164,2011,0.017
BD,164,2011,0.021
BD,164,2012,0.014
BD,164,2012,0.016
BD,164,2012,0.016
BD,164,2012,0.016
BD,164,2012,0.016
BD,164,2013,0.019
BD,164,2013,0.024
BD,164,2013,0.036
BD,164,2014,0.016
BD,164,2014,0.018
BD,164,2014,0.02
BD,164,2014,0.02
BD,164,2014,0.02
BD,164,2014,0.02
BD,164,2014,0.022
BD,164,2014,0.022
BD,164,2014,0.022
BD,164,2014,0.022
BD,164,2014,0.025
BD,164,2014,0.034
BD,164,2014,0.035
BD,164,2015,0.009
BD,164,2015,0.01
BD,164,2015,0.019
BD,164,2015,0.02
BD,164,2015,0.022
BD,164,2015,0.024
BD,164,2015,0.027
BD,164,2015,0.03
BD,164,2016,0.011
BD,164,2016,0.015
BD,164,2016,0.021
BD,164,2016,0.022
BD,164,2016,0.025
BD,164,2016,0.026
BD,164,2016,0.027
BD,164,2017,0.025
